dataset	family	model_key	triplet_score	dataset_rank_int	layer_name	layer_index	family_rank
TID2013	DINO	dino_vitb16	0.8236098450319052	41	hidden_state_012	12	3
TID2013	DINO	dino_vitb8	0.7921604375569735	44	hidden_state_012	12	4
TID2013	DINOv2	dinov2_small	0.9293527803099362	28	hidden_state_012	12	1
TID2013	DINOv2	dinov2_base	0.8969917958067457	34	hidden_state_012	12	2
TID2013	DINOv2	dinov2_large	0.8710118505013673	36	hidden_state_024	24	3
TID2013	DINOv2	dinov2_giant	0.8687329079307201	38	hidden_state_040	40	4
TID2013	DINOv3	dinov3_vits16plus	0.9826800364630812	5	block_009	9	1
TID2013	DINOv3	dinov3_vits16	0.9731084776663628	8	block_010	10	2
TID2013	DINOv3	dinov3_vitb16	0.9617137648131266	14	block_010	10	3
TID2013	DINOv3	dinov3_vitl16	0.9443938012762079	20	block_016	16	4
TID2013	DINOv3	dinov3_vit7b16	0.9430264357338195	21	block_023	23	5
TID2013	DINOv3	dinov3_vith16plus	0.8947128532360984	35	block_026	26	6
TID2013	FastViT	fastvit_t8	0.7948951686417502	43	feature_map_003	3	1
TID2013	FastViT	fastvit_ma36	0.7707383773928898	49	feature_map_002	2	2
TID2013	FastViT	fastvit_s12	0.7588878760255242	50	feature_map_003	3	3
TID2013	FastViT	fastvit_t12	0.6937101185050137	55	feature_map_003	3	4
TID2013	FastViT	fastvit_sa12	0.678669097538742	57	feature_map_003	3	5
TID2013	FastViT	fastvit_sa36	0.5989061075660893	64	feature_map_002	2	6
TID2013	FastViT	fastvit_sa24	0.5195989061075661	69	feature_map_002	2	7
TID2013	FastViTHD	fastvithd_15b	0.9963536918869644	1	image_embeddings	44	1
TID2013	FastViTHD	fastvithd_05b	0.9949863263445762	2	canonical_embedding	45	2
TID2013	FastViTHD	fastvithd_7b	0.9817684594348222	6	canonical_embedding	45	3
TID2013	I-JEPA	ijepa_vith14	0.7392889699179581	51	hidden_state_007	7	1
TID2013	InternViT	internvit_6b_v25	0.5993618960802187	63	hidden_state_044	44	1
TID2013	InternViT	internvit_300m_v25	0.31358249772105745	74	hidden_state_019	19	2
TID2013	InternViT	internvit_300m	0.26298997265268914	75	hidden_state_001	1	3
TID2013	MAE	vit_mae_base	0.7835004557885141	45	hidden_state_012	12	1
TID2013	MAE	vit_mae_huge	0.7793983591613491	46	hidden_state_027	27	2
TID2013	MAE	vit_mae_large	0.7725615314494074	48	hidden_state_023	23	3
TID2013	ResNeXt	resnext101_32x8d	0.9243391066545124	29	feature_map_003	3	1
TID2013	ResNeXt	resnext50_32x4d	0.8564266180492252	39	feature_map_004	4	2
TID2013	ResNet	resnet18	0.9366453965360073	25	hidden_state_004	4	1
TID2013	ResNet	resnet34	0.9020054694621695	31	hidden_state_004	4	2
TID2013	ResNet	resnet50	0.8231540565177757	42	hidden_state_004	4	3
TID2013	ResNet	resnet101	0.690975387420237	56	hidden_state_004	4	4
TID2013	ResNet	resnet152	0.6563354603463992	59	hidden_state_003	3	5
TID2013	SigLIP	siglip_so400m	0.9649042844120328	12	image_embeds_l2	29	1
TID2013	SigLIP	siglip_base	0.9389243391066545	24	hidden_state_012	12	2
TID2013	SigLIP	siglip_large	0.9010938924339107	32	hidden_state_024	24	3
TID2013	SigLIP2	siglip2_so400m_naflex	0.966271649954421	11	image_embeds_l2	2	1
TID2013	SigLIP2	siglip2_base_naflex	0.954876937101185	16	image_embeds_l2	2	2
TID2013	SigLIP2	siglip2_base	0.9471285323609845	19	image_embeds_l2	2	3
TID2013	SigLIP2	siglip2_large	0.9320875113947129	27	image_embeds_l2	2	4
TID2013	SigLIP2	siglip2_so400m	0.8710118505013673	37	image_embeds_l2	2	5
TID2013	Swin	swin_tiny	0.6431175934366454	61	hidden_state_003	3	1
TID2013	Swin	swin_large	0.5405651777575204	67	hidden_state_003	3	2
TID2013	Swin	swin_small	0.4749316317228806	71	hidden_state_003	3	3
TID2013	Swin	swin_base	0.4608021877848678	72	hidden_state_003	3	4
TID2013	SwinV2	swinv2_tiny	0.6485870556061988	60	hidden_state_003	3	1
TID2013	SwinV2	swinv2_small	0.5610756608933455	66	hidden_state_003	3	2
TID2013	SwinV2	swinv2_base	0.4867821330902461	70	hidden_state_003	3	3
TID2013	SwinV2	swinv2_large	0.43345487693710116	73	hidden_state_003	3	4
TID2013	VGG	vgg16	0.9936189608021878	3	feature_map_005	5	1
TID2013	VGG	vgg19	0.9899726526891522	4	feature_map_005	5	2
TID2013	VGG	vgg11	0.9731084776663628	9	feature_map_005	5	3
TID2013	VGG	vgg13	0.9717411121239745	10	feature_map_005	5	4
TID2013	VGG	vgg19_bn	0.959890610756609	15	feature_map_004	4	5
TID2013	VGG	vgg11_bn	0.9544211485870556	17	feature_map_004	4	6
TID2013	VGG	vgg13_bn	0.9407474931631723	22	feature_map_004	4	7
TID2013	VGG	vgg16_bn	0.939380127620784	23	feature_map_005	5	8
TID2013	ViT	vit_tiny	0.9348222424794895	26	block_010	10	1
TID2013	ViT	vit_small	0.773017319963537	47	block_011	11	2
TID2013	ViT	vit_huge	0.7174111212397447	53	hidden_state_029	29	3
TID2013	ViT	vit_base	0.7023701002734731	54	hidden_state_012	12	4
TID2013	ViT	vit_large	0.6604375569735642	58	hidden_state_021	21	5
kadid10k	CLIP	clip_vit_l14_336	0.9936189608021878	4	hidden_state_023	23	1
kadid10k	CLIP	clip_vit_l14	0.9781221513217867	7	hidden_state_023	23	2
