family	model_key	global_triplet_score	triplet_rank	global_best_layer	global_best_layer_index	global_best_layer_fraction	dataset_count	dataset_wins	family_rank
ResNeXt	resnext50_32x4d	0.8807543299908842	32	feature_map_004	4	1.0	4	0	1
ResNeXt	resnext101_32x8d	0.8655423883318141	36	feature_map_003	3	0.75	4	0	2
ResNet	resnet18	0.9000113947128533	23	hidden_state_004	4	0.8	4	0	1
ResNet	resnet34	0.8883887876025525	28	hidden_state_003	3	0.6	4	0	2
ResNet	resnet50	0.8612123974475844	39	hidden_state_004	4	0.8	4	0	3
ResNet	resnet101	0.7522789425706473	58	hidden_state_003	3	0.6	4	0	4
ResNet	resnet152	0.702028258887876	60	hidden_state_003	3	0.6	4	0	5
SigLIP	siglip_base	0.9421148587055607	11	hidden_state_012	12	0.8571428571428571	4	0	1
SigLIP	siglip_so400m	0.930549225159526	14	image_embeds_l2	29	1.0	4	0	2
SigLIP	siglip_large	0.8942570647219691	26	hidden_state_012	12	0.46153846153846156	4	0	3
SigLIP2	siglip2_base_naflex	0.966841385597083	5	image_embeds_l2	2	1.0	4	0	1
SigLIP2	siglip2_large	0.927073837739289	16	image_embeds_l2	2	1.0	4	0	2
SigLIP2	siglip2_so400m_naflex	0.9248518687329079	17	image_embeds_l2	2	1.0	4	1	3
SigLIP2	siglip2_base	0.8875341841385597	29	image_embeds_l2	2	1.0	4	0	4
SigLIP2	siglip2_so400m	0.8231540565177757	42	image_embeds_l2	2	1.0	4	0	5
Swin	swin_tiny	0.7072128532360984	59	hidden_state_004	4	0.8	4	0	1
Swin	swin_small	0.5738947128532361	68	canonical_embedding	5	1.0	4	0	2
Swin	swin_base	0.526207839562443	71	canonical_embedding	5	1.0	4	0	3
Swin	swin_large	0.5080332725615314	73	canonical_embedding	5	1.0	4	0	4
SwinV2	swinv2_tiny	0.5978805834092982	67	hidden_state_003	3	0.6	4	0	1
SwinV2	swinv2_small	0.5301959890610757	70	hidden_state_003	3	0.6	4	0	2
SwinV2	swinv2_base	0.5111668185961713	72	hidden_state_003	3	0.6	4	0	3
SwinV2	swinv2_large	0.4077028258887876	75	canonical_embedding	5	1.0	4	0	4
VGG	vgg16	0.9687784867821331	4	feature_map_004	4	0.8	4	0	1
VGG	vgg19	0.9594348222424796	7	feature_map_005	5	1.0	4	0	2
VGG	vgg11	0.9465587967183227	9	feature_map_005	5	1.0	4	0	3
VGG	vgg19_bn	0.9458751139471285	10	feature_map_005	5	1.0	4	0	4
VGG	vgg13	0.9348792160437557	12	feature_map_005	5	1.0	4	0	5
VGG	vgg16_bn	0.9095829535095716	20	feature_map_004	4	0.8	4	0	6
VGG	vgg13_bn	0.9076458523245214	21	feature_map_004	4	0.8	4	0	7
VGG	vgg11_bn	0.8967639015496809	24	feature_map_004	4	0.8	4	0	8
ViT	vit_tiny	0.9480401093892434	8	block_010	10	0.8333333333333334	4	0	1
ViT	vit_small	0.863947128532361	38	block_011	11	0.9166666666666666	4	0	2
ViT	vit_base	0.774954421148587	50	hidden_state_011	11	0.8461538461538461	4	0	3
ViT	vit_huge	0.7645852324521422	55	hidden_state_032	32	0.9696969696969697	4	0	4
ViT	vit_large	0.7534184138559709	57	hidden_state_023	23	0.92	4	0	5
