model_key	family	layer_index	layer_name	mean_triplet	min_triplet	max_triplet	dataset_count
fastvithd_15b	FastViTHD	39	block_039	0.6240786839009264	0.24703737465815861	0.9001823154056519	4
fastvithd_15b	FastViTHD	40	block_040	0.6404629391563454	0.2479489516864175	0.9266180492251594	4
fastvithd_15b	FastViTHD	41	block_041	0.671485450693898	0.29990884229717407	0.9594348222424796	4
fastvithd_15b	FastViTHD	42	block_042	0.6167287153689462	0.26207839562443025	0.8114909781576447	4
fastvithd_15b	FastViTHD	43	block_043	0.4092610772191447	0.11440291704649047	0.7008547008547008	4
fastvithd_15b	FastViTHD	44	image_embeddings	0.386829291835369	0.09890610756608936	0.5920692798541477	4
fastvithd_15b	FastViTHD	45	canonical_embedding	0.3621300343421279	0.10847766636280765	0.5788514129443938	4
fastvithd_7b	FastViTHD	0	block_000	0.3507141119568953	0.13485280151946816	0.5369188696444849	4
fastvithd_7b	FastViTHD	1	block_001	0.3185565658218347	0.1096866096866097	0.4927073837739289	4
fastvithd_7b	FastViTHD	2	block_002	0.405247065076904	0.2447584320875114	0.6157702825888788	4
fastvithd_7b	FastViTHD	3	block_003	0.43329807789698394	0.21011850501367363	0.6112123974475843	4
fastvithd_7b	FastViTHD	4	block_004	0.4425202204752493	0.2082953509571559	0.5631528964862298	4
fastvithd_7b	FastViTHD	5	block_005	0.5009847282712674	0.24339106654512305	0.7345679012345679	4
fastvithd_7b	FastViTHD	6	block_006	0.4881801225997519	0.23518687329079307	0.741690408357075	4
fastvithd_7b	FastViTHD	7	block_007	0.48450210840061947	0.18140382862351873	0.795346628679962	4
fastvithd_7b	FastViTHD	8	block_008	0.4931487801056321	0.15998176845943485	0.8281101614434947	4
fastvithd_7b	FastViTHD	9	block_009	0.4702454072706276	0.1294439380127621	0.8281101614434948	4
fastvithd_7b	FastViTHD	10	block_010	0.4417300571964808	0.12443026435733817	0.8252611585944919	4
fastvithd_7b	FastViTHD	11	block_011	0.4877894776481832	0.13947128532360986	0.8618233618233618	4
fastvithd_7b	FastViTHD	12	block_012	0.4426127416479893	0.10938924339106654	0.8110161443494777	4
fastvithd_7b	FastViTHD	13	block_013	0.4993752927131839	0.17593436645396537	0.9036087369420702	4
fastvithd_7b	FastViTHD	14	block_014	0.3825444253125809	0.06608933454876936	0.6728395061728395	4
fastvithd_7b	FastViTHD	15	block_015	0.40855423710179106	0.08568824065633546	0.7212725546058879	4
fastvithd_7b	FastViTHD	16	block_016	0.43981957613832423	0.13673655423883319	0.7597340930674265	4
fastvithd_7b	FastViTHD	17	block_017	0.4492156152365815	0.14630811303555152	0.7649572649572649	4
fastvithd_7b	FastViTHD	18	block_018	0.5732164947828879	0.24840474020054693	0.8584995251661918	4
fastvithd_7b	FastViTHD	19	block_019	0.48446780522897204	0.12807657247037374	0.7578347578347578	4
fastvithd_7b	FastViTHD	20	block_020	0.45335482854474046	0.11257976298997269	0.7345679012345679	4
fastvithd_7b	FastViTHD	21	block_021	0.5211569410141272	0.16773017319963535	0.8599240265906932	4
fastvithd_7b	FastViTHD	22	block_022	0.5629711004976882	0.18596171376481313	0.8708452041785375	4
fastvithd_7b	FastViTHD	23	block_023	0.5847067587420064	0.20510483135824975	0.879392212725546	4
fastvithd_7b	FastViTHD	24	block_024	0.5814118146615868	0.22105742935278028	0.8803418803418803	4
fastvithd_7b	FastViTHD	25	block_025	0.5953086030190254	0.30218778486782133	0.8798670465337132	4
fastvithd_7b	FastViTHD	26	block_026	0.6171296404508194	0.2315405651777575	0.8855650522317189	4
fastvithd_7b	FastViTHD	27	block_027	0.6210987446554144	0.2675478577939836	0.8836657169990504	4
fastvithd_7b	FastViTHD	28	block_028	0.5949702244141625	0.24065633546034643	0.8536918869644485	4
fastvithd_7b	FastViTHD	29	block_029	0.5928198375782697	0.24703737465815861	0.8475783475783476	4
fastvithd_7b	FastViTHD	30	block_030	0.5914565840880032	0.24339106654512305	0.8286235186873291	4
fastvithd_7b	FastViTHD	31	block_031	0.6012179465537107	0.2534184138559708	0.8742023701002735	4
fastvithd_7b	FastViTHD	32	block_032	0.6258121302940507	0.31312670920692803	0.8432087511394712	4
fastvithd_7b	FastViTHD	33	block_033	0.6357687070236447	0.32816773017319967	0.8580246913580247	4
fastvithd_7b	FastViTHD	34	block_034	0.644865107376502	0.23928896991795806	0.9065633546034639	4
fastvithd_7b	FastViTHD	35	block_035	0.6535475972197333	0.28076572470373745	0.9234275296262534	4
fastvithd_7b	FastViTHD	36	block_036	0.6206155785311057	0.3108477666362807	0.8400182315405651	4
fastvithd_7b	FastViTHD	37	block_037	0.43857232580265093	0.23701002734731086	0.5218778486782133	4
fastvithd_7b	FastViTHD	38	block_038	0.6409210001203316	0.3404740200546946	0.9143117593436645	4
fastvithd_7b	FastViTHD	39	block_039	0.5948041191508223	0.2912488605287147	0.7985414767547858	4
fastvithd_7b	FastViTHD	40	block_040	0.6010273854014359	0.29626253418413856	0.7643573381950775	4
fastvithd_7b	FastViTHD	41	block_041	0.5114357251625559	0.28623518687329075	0.6408386508659982	4
fastvithd_7b	FastViTHD	42	block_042	0.5133761809164422	0.26071103008204194	0.8907882241215574	4
fastvithd_7b	FastViTHD	43	block_043	0.3379051778094622	0.09936189608021878	0.8233618233618234	4
fastvithd_7b	FastViTHD	44	image_embeddings	0.4230373175222765	0.13400182315405657	0.801994301994302	4
fastvithd_7b	FastViTHD	45	canonical_embedding	0.3529527997015083	0.08204193254329989	0.7217473884140551	4
ijepa_vith14	I-JEPA	0	hidden_state_000	0.26007625908871734	0.05033238366571702	0.597538742023701	4
ijepa_vith14	I-JEPA	1	hidden_state_001	0.4094244771850363	0.10027347310847767	0.6330902461257977	4
ijepa_vith14	I-JEPA	2	hidden_state_002	0.4986112085018193	0.14311759343664543	0.8185961713764813	4
ijepa_vith14	I-JEPA	3	hidden_state_003	0.44302178262220804	0.13719234275296266	0.6923427529626254	4
ijepa_vith14	I-JEPA	4	hidden_state_004	0.4116615417511802	0.1207839562443026	0.6394712853236099	4
ijepa_vith14	I-JEPA	5	hidden_state_005	0.3953178659574892	0.11987237921604377	0.6007292616226072	4
ijepa_vith14	I-JEPA	6	hidden_state_006	0.3768996598683624	0.11485870556061983	0.5364630811303555	4
ijepa_vith14	I-JEPA	7	hidden_state_007	0.38723930671666923	0.10027347310847767	0.5592525068368277	4
ijepa_vith14	I-JEPA	8	hidden_state_008	0.3725772438169886	0.1107566089334549	0.520510483135825	4
ijepa_vith14	I-JEPA	9	hidden_state_009	0.3404238097340498	0.10300820419325435	0.4434822242479489	4
ijepa_vith14	I-JEPA	10	hidden_state_010	0.33142609863211503	0.0834092980856882	0.43710118505013673	4
ijepa_vith14	I-JEPA	11	hidden_state_011	0.3381337213379146	0.08933454876937097	0.4977210574293528	4
ijepa_vith14	I-JEPA	12	hidden_state_012	0.34494674243230916	0.0920692798541477	0.50820419325433	4
