dataset	model_key	family	layer_index	layer_name	triplet_score	slice_count	raw_value_mean	dataset_rank	dataset_rank_int
LIVEC	siglip2_so400m_naflex	SigLIP2	1	pooler_output	0.0569735642661805	2	0.49719894777490836	75.0	75
LIVEC	siglip_base	SigLIP	0	hidden_state_000	0.6554238833181404	2	0.5025175155504211	55.0	55
LIVEC	siglip_large	SigLIP	11	hidden_state_011	0.6832269826800365	2	0.5027016024153129	50.0	50
LIVEC	siglip_so400m	SigLIP	12	hidden_state_012	0.8204193254329991	2	0.5035175745816223	30.0	30
LIVEC	swin_base	Swin	0	hidden_state_000	0.711485870556062	2	0.5028776410232265	48.5	48
LIVEC	swin_large	Swin	0	hidden_state_000	0.6672743846855059	2	0.5026039427755957	53.0	53
LIVEC	swin_small	Swin	0	hidden_state_000	0.6818596171376481	2	0.5026937321209841	51.0	51
LIVEC	swin_tiny	Swin	0	hidden_state_000	0.7183226982680035	2	0.5029244698016617	45.0	45
LIVEC	swinv2_base	SwinV2	0	hidden_state_000	0.7420237010027347	2	0.5030679981161136	41.0	41
LIVEC	swinv2_large	SwinV2	0	hidden_state_000	0.711485870556062	2	0.502879400840592	48.5	49
LIVEC	swinv2_small	SwinV2	0	hidden_state_000	0.7169553327256153	2	0.5029099183996842	46.0	46
LIVEC	swinv2_tiny	SwinV2	0	hidden_state_000	0.7338195077484048	2	0.5030070575705401	42.0	42
LIVEC	vgg11	VGG	5	feature_map_005	0.7515952597994531	2	0.5031216223839363	38.0	38
LIVEC	vgg11_bn	VGG	0	feature_map_000	0.7684594348222424	2	0.503203547505535	36.0	36
LIVEC	vgg13	VGG	0	feature_map_000	0.7488605287146763	2	0.5030901856174075	39.0	39
LIVEC	vgg13_bn	VGG	0	feature_map_000	0.8577939835916135	2	0.5038087940029105	28.0	28
LIVEC	vgg16	VGG	0	feature_map_000	0.7133090246125797	2	0.5029108251465403	47.0	47
LIVEC	vgg16_bn	VGG	0	feature_map_000	0.7985414767547858	2	0.5034009997807449	33.0	33
LIVEC	vgg19	VGG	0	feature_map_000	0.6636280765724704	2	0.5025623733206268	54.0	54
LIVEC	vgg19_bn	VGG	0	feature_map_000	0.8062898814949864	2	0.5034519354387037	32.0	32
LIVEC	vit_base	ViT	1	hidden_state_001	0.6353691886964449	2	0.5024232873628652	58.0	58
LIVEC	vit_huge	ViT	17	hidden_state_017	0.8842297174111213	2	0.5040854623417231	21.0	21
LIVEC	vit_large	ViT	1	hidden_state_001	0.7830446672743847	2	0.5033021244356763	34.0	34
LIVEC	vit_mae_base	MAE	2	hidden_state_002	0.8701002734731085	2	0.5038963225516979	27.0	27
LIVEC	vit_mae_huge	MAE	25	hidden_state_025	1.0	2	0.5088223079177876	1.0	1
LIVEC	vit_mae_large	MAE	2	hidden_state_002	0.9448495897903373	2	0.5048119784032963	13.0	13
LIVEC	vit_small	ViT	0	block_000	0.7561531449407475	2	0.5031381808978764	37.0	37
LIVEC	vit_tiny	ViT	5	block_005	0.8728350045578852	2	0.5039454789026654	26.0	26
PieAPP	clip_vit_b16	CLIP	12	hidden_state_012	0.9412032816773017	2	0.6003663003663007	15.5	15
PieAPP	clip_vit_b32	CLIP	12	hidden_state_012	0.9143117593436645	2	0.5979761904761907	23.0	23
PieAPP	clip_vit_l14	CLIP	2	hidden_state_002	0.7151321786690975	2	0.5898809523809527	54.0	54
PieAPP	clip_vit_l14_336	CLIP	26	image_embeds	0.7101185050136737	2	0.5897344322344323	55.0	55
