model_key	family	quality_rank_correct	global_quality_score_correct	global_best_layer_correct	global_best_layer_index_correct	dataset_count_correct	headline_eligible_correct	quality_rank_wrong	global_quality_score_wrong	global_best_layer_wrong	global_best_layer_index_wrong	dataset_count_wrong	headline_eligible_wrong	delta_quality_score	abs_quality_delta	delta_rank	abs_rank_delta	layer_changed	headline_eligible
convnext_small	ConvNeXt	64	0.5542809014869888	hidden_state_004	4	4	True	46	0.749327274358737	hidden_state_002	2	4	True	-0.1950463728717482	0.1950463728717482	-18	18	True	True
dinov2_large	DINOv2	46	0.7830216078066914	hidden_state_022	22	4	True	4	0.9682706683467674	hidden_state_010	10	4	True	-0.18524906054007606	0.18524906054007606	-42	42	True	True
resnet34	ResNet	11	0.9280901486988848	hidden_state_003	3	4	True	47	0.7454985731435385	hidden_state_001	1	4	True	0.18259157555534633	0.18259157555534633	36	36	True	True
vit_mae_large	MAE	47	0.7782295539033457	hidden_state_020	20	4	True	9	0.9553865908837743	hidden_state_007	7	4	True	-0.17715703698042862	0.17715703698042862	-38	38	True	True
vgg11_bn	VGG	10	0.9289904739776952	feature_map_005	5	4	True	44	0.753068139603327	feature_map_002	2	4	True	0.17592233437436822	0.17592233437436822	34	34	True	True
vgg16_bn	VGG	15	0.9062790427509294	feature_map_005	5	4	True	49	0.7323797952261935	feature_map_002	2	4	True	0.17389924752473596	0.17389924752473596	34	34	True	True
convnext_large	ConvNeXt	68	0.5221305762081785	hidden_state_002	2	4	True	55	0.695670278746255	hidden_state_002	2	4	True	-0.1735397025380765	0.1735397025380765	-13	13	False	True
dino_vitb16	DINO	24	0.8733736059479554	hidden_state_012	12	4	True	52	0.7002117567402142	hidden_state_004	4	4	True	0.17316184920774125	0.17316184920774125	28	28	True	True
swinv2_base	SwinV2	72	0.4331435873605948	canonical_embedding	5	4	True	63	0.6027931043880113	hidden_state_002	2	4	True	-0.16964951702741649	0.16964951702741649	-9	9	True	True
vgg19_bn	VGG	9	0.9293389869888475	feature_map_005	5	4	True	42	0.7655333296598288	feature_map_002	2	4	True	0.16380565732901875	0.16380565732901875	33	33	True	True
swinv2_large	SwinV2	74	0.42713173791821557	hidden_state_003	3	4	True	66	0.5862200481581918	hidden_state_003	3	4	True	-0.15908831023997627	0.15908831023997627	-8	8	False	True
resnet18	ResNet	8	0.9319818773234201	hidden_state_004	4	4	True	39	0.7747154128238832	hidden_state_002	2	4	True	0.15726646449953685	0.15726646449953685	31	31	True	True
siglip2_so400m	SigLIP2	63	0.5904681691449813	image_embeds_l2	2	4	True	72	0.44105948458157523	pooler_output	1	4	True	0.1494086845634061	0.1494086845634061	9	9	True	True
clip_vit_l14	CLIP	34	0.8528113382899628	hidden_state_024	24	4	True	1	0.9830986225925489	hidden_state_019	19	4	True	-0.13028728430258607	0.13028728430258607	-33	33	True	True
resnet152	ResNet	54	0.7275209107806692	hidden_state_003	3	4	True	22	0.8557782326787673	hidden_state_002	2	4	True	-0.12825732189809813	0.12825732189809813	-32	32	True	True
clip_vit_l14_336	CLIP	36	0.8365764405204461	hidden_state_024	24	4	True	6	0.9631460916536982	hidden_state_019	19	4	True	-0.12656965113325214	0.12656965113325214	-30	30	True	True
ijepa_vith14	I-JEPA	48	0.7782295539033457	hidden_state_024	24	4	True	18	0.8993714895746006	hidden_state_012	12	4	True	-0.12114193567125486	0.12114193567125486	-30	30	True	True
vit_mae_base	MAE	44	0.7919377323420074	hidden_state_011	11	4	True	16	0.9101564199645107	hidden_state_006	6	4	True	-0.11821868762250332	0.11821868762250332	-28	28	True	True
dinov3_vits16	DINOv3	25	0.8707888011152416	block_010	10	4	True	43	0.7533076057185395	block_003	3	4	True	0.1174811953967021	0.1174811953967021	18	18	True	True
dinov2_giant	DINOv2	37	0.8344272769516728	hidden_state_035	35	4	True	12	0.9453278693605636	hidden_state_014	14	4	True	-0.11090059240889072	0.11090059240889072	-25	25	True	True
swinv2_small	SwinV2	71	0.46912755576208176	hidden_state_003	3	4	True	68	0.576397382137291	hidden_state_002	2	4	True	-0.10726982637520921	0.10726982637520921	-3	3	True	True
resnet101	ResNet	50	0.7668738382899629	hidden_state_003	3	4	True	20	0.8687189306463766	hidden_state_002	2	4	True	-0.1018450923564137	0.1018450923564137	-30	30	True	True
dinov2_small	DINOv2	32	0.8552509293680297	hidden_state_012	12	4	True	7	0.9562908348067345	hidden_state_004	4	4	True	-0.10103990543870478	0.10103990543870478	-25	25	True	True
dinov3_vits16plus	DINOv3	21	0.8820864312267658	block_009	9	4	True	37	0.7810522418100143	block_002	2	4	True	0.10103418941675146	0.10103418941675146	16	16	True	True
vit_small	ViT	30	0.8622211895910781	block_011	11	4	True	8	0.9556487168810824	block_003	3	4	True	-0.09342752729000436	0.09342752729000436	-22	22	True	True
swin_base	Swin	70	0.4940462360594795	canonical_embedding	5	4	True	65	0.5867337503848682	hidden_state_002	2	4	True	-0.09268751432538869	0.09268751432538869	-5	5	True	True
dino_vits8	DINO	14	0.9086315055762082	hidden_state_012	12	4	True	30	0.8186618201672251	hidden_state_005	5	4	True	0.08996968540898309	0.08996968540898309	16	16	True	True
swin_large	Swin	69	0.4957307156133829	hidden_state_003	3	4	True	67	0.5819111777086254	hidden_state_001	1	4	True	-0.08618046209524255	0.08618046209524255	-2	2	True	True
dinov2_base	DINOv2	19	0.8848454925650557	hidden_state_012	12	4	True	3	0.9700806642956121	hidden_state_004	4	4	True	-0.08523517173055639	0.08523517173055639	-16	16	True	True
fastvit_s12	FastViT	52	0.7649279739776951	feature_map_003	3	4	True	57	0.6807317814202312	feature_map_000	0	4	True	0.08419619255746391	0.08419619255746391	5	5	True	True
clip_vit_b16	CLIP	17	0.8962883364312267	hidden_state_012	12	4	True	2	0.9793601112757317	hidden_state_008	8	4	True	-0.08307177484450501	0.08307177484450501	-15	15	True	True
siglip_large	SigLIP	27	0.8680297397769516	hidden_state_012	12	4	True	11	0.947116954733342	hidden_state_007	7	4	True	-0.07908721495639037	0.07908721495639037	-16	16	True	True
clip_vit_b32	CLIP	18	0.8893180762081785	hidden_state_012	12	4	True	5	0.9640644924657753	hidden_state_008	8	4	True	-0.07474641625759681	0.07474641625759681	-13	13	True	True
dino_vits16	DINO	23	0.8744191449814127	hidden_state_012	12	4	True	34	0.8038319325720318	hidden_state_005	5	4	True	0.07058721240938093	0.07058721240938093	11	11	True	True
swin_tiny	Swin	58	0.7021956319702602	hidden_state_003	3	4	True	62	0.6323558856368907	hidden_state_002	2	4	True	0.06983974633336953	0.06983974633336953	4	4	True	True
fastvit_sa36	FastViT	61	0.6616229089219331	feature_map_003	3	4	True	64	0.5957055396010061	feature_map_000	0	4	True	0.06591736932092696	0.06591736932092696	3	3	True	True
siglip_base	SigLIP	12	0.9218459572490706	hidden_state_012	12	4	True	21	0.8587638663190806	hidden_state_003	3	4	True	0.06308209092998995	0.06308209092998995	9	9	True	True
swinv2_tiny	SwinV2	62	0.6006331319702602	hidden_state_003	3	4	True	59	0.6626309683101713	hidden_state_002	2	4	True	-0.06199783633991107	0.06199783633991107	-3	3	True	True
siglip_so400m	SigLIP	28	0.8671875	image_embeds_l2	29	4	True	15	0.9237631645268016	hidden_state_007	7	4	True	-0.05657566452680163	0.05657566452680163	-13	13	True	True
