family	model_key	corr_metric	global_metric_score	metric_score_std	mean_dataset_rank	dataset_count	global_best_layer_index	global_best_layer	global_best_layer_score	family_rank
FastViT	fastvit_t8	scc	0.4899274741188542	0.13741687051747972	66.0	4	1	feature_map_001	0.44462078266904004	7
FastViTHD	fastvithd_15b	scc	0.7646873427197317	0.18372786235475624	31.125	4	34	block_034	0.6462785873778013	1
FastViTHD	fastvithd_05b	scc	0.7575437778490907	0.18683762440238616	31.75	4	34	block_034	0.6344895881857978	2
FastViTHD	fastvithd_7b	scc	0.7378451208010971	0.1875316237325096	35.75	4	34	block_034	0.6338881892069133	3
I-JEPA	ijepa_vith14	scc	0.7759149480585505	0.10986733172554457	27.75	4	22	hidden_state_022	0.5262392217331984	1
InternViT	internvit_6b_v25	scc	0.9914100448513183	0.008761639211763362	2.5	4	41	hidden_state_041	0.8619181773617446	1
InternViT	internvit_300m_v25	scc	0.9684021227922182	0.029834735568059385	4.5	4	5	hidden_state_005	0.865140570452668	2
InternViT	internvit_300m	scc	0.9305972703862088	0.04471542080962435	12.25	4	6	hidden_state_006	0.8314100593323661	3
MAE	vit_mae_large	scc	0.8577761987470407	0.07034031006304206	18.5	4	4	hidden_state_004	0.7847688375412172	1
MAE	vit_mae_huge	scc	0.8352577188614326	0.09664273306877667	18.0	4	9	hidden_state_009	0.7492361530547051	2
MAE	vit_mae_base	scc	0.7303565667230068	0.08781634626493852	33.75	4	3	hidden_state_003	0.6427636299200328	3
ResNeXt	resnext101_32x8d	scc	0.6641881081071355	0.09205448094072122	45.75	4	2	feature_map_002	0.5013058769122241	1
ResNeXt	resnext50_32x4d	scc	0.5569246308028972	0.09411739686478038	56.75	4	1	feature_map_001	0.4923367046624403	2
ResNet	resnet18	scc	0.6480267868253438	0.0931216405210856	43.75	4	0	hidden_state_000	0.5513346886149175	1
ResNet	resnet34	scc	0.6323202800348291	0.09253889052121385	48.0	4	0	hidden_state_000	0.5316099258663614	2
ResNet	resnet152	scc	0.6103687101815518	0.04367726087702438	52.375	4	2	hidden_state_002	0.4303478142267172	3
ResNet	resnet101	scc	0.5709373713698771	0.12676760067760207	50.75	4	1	hidden_state_001	0.4645076822549202	4
ResNet	resnet50	scc	0.5590351195485685	0.12061851327948332	52.375	4	1	hidden_state_001	0.5107079820021001	5
SigLIP	siglip_so400m	scc	0.9093283727502854	0.09044739952278626	16.5	4	10	hidden_state_010	0.8871111064559414	1
SigLIP	siglip_large	scc	0.8952258767778556	0.035231631445379656	15.5	4	11	hidden_state_011	0.7744280432732847	2
SigLIP	siglip_base	scc	0.8397161888190182	0.07219452698981671	21.75	4	1	hidden_state_001	0.6833500178153007	3
SigLIP2	siglip2_large	scc	0.39498693374407756	0.1741137888899559	63.75	4	1	pooler_output	0.3449172311418471	1
SigLIP2	siglip2_so400m	scc	0.30907390191233103	0.17099940604679617	66.0	4	1	pooler_output	0.30907390191233103	2
SigLIP2	siglip2_base_naflex	scc	0.29266212951470794	0.16250208467176153	69.25	4	1	pooler_output	0.29266212951470794	3
SigLIP2	siglip2_base	scc	0.27292141791155733	0.19299479437525088	71.75	4	1	pooler_output	0.2123179598491838	4
Swin	swin_base	scc	0.741822068831697	0.13202567763021203	35.0	4	3	hidden_state_003	0.5326381656300601	1
Swin	swin_small	scc	0.6775099610891293	0.10979928253494614	43.25	4	3	hidden_state_003	0.47126140196979555	2
Swin	swin_large	scc	0.6673555405322621	0.08253781436143505	45.625	4	3	hidden_state_003	0.46969192853260794	3
Swin	swin_tiny	scc	0.6071963998434129	0.14389766772662352	53.25	4	3	hidden_state_003	0.4387939222491073	4
SwinV2	swinv2_large	scc	0.7617087381492162	0.14118909329687443	32.0	4	3	hidden_state_003	0.526752883130629	1
SwinV2	swinv2_small	scc	0.6733526932299125	0.1476237509995415	43.0	4	1	hidden_state_001	0.4666831095515625	2
SwinV2	swinv2_base	scc	0.5957540341637666	0.178932746002522	53.25	4	1	hidden_state_001	0.4517437961910944	3
SwinV2	swinv2_tiny	scc	0.5941180226108983	0.18628693857908704	53.0	4	1	hidden_state_001	0.4731925629699658	4
VGG	vgg19_bn	scc	0.701132753441912	0.044224534296168794	40.75	4	1	feature_map_001	0.5368669541854063	1
VGG	vgg16_bn	scc	0.6664657318680798	0.06164334401737627	44.5	4	1	feature_map_001	0.5163727950651058	2
VGG	vgg16	scc	0.653010652015708	0.08234657808649823	45.75	4	1	feature_map_001	0.5256872319413586	3
VGG	vgg13	scc	0.6324292938381769	0.06953655789076275	49.25	4	1	feature_map_001	0.48849342023222897	4
VGG	vgg19	scc	0.6085174666686999	0.0980884951374073	53.0	4	1	feature_map_001	0.49083623990290065	5
VGG	vgg13_bn	scc	0.6067296093450713	0.12712510171238073	53.75	4	0	feature_map_000	0.4490897361991806	6
VGG	vgg11	scc	0.582368555694057	0.0951774778446977	58.25	4	1	feature_map_001	0.5249845826097078	7
VGG	vgg11_bn	scc	0.5745246651088606	0.12384942328955569	57.5	4	0	feature_map_000	0.5117265829210274	8
ViT	vit_small	scc	0.8855093954482409	0.04123133378390495	17.875	4	2	block_002	0.7080312282217849	1
ViT	vit_tiny	scc	0.8512689047615182	0.06643616419219718	21.25	4	5	block_005	0.7771683098288525	2
ViT	vit_huge	scc	0.7770708640347963	0.12022089326719133	29.0	4	10	hidden_state_010	0.7195738061995014	3
ViT	vit_large	scc	0.6846385338886858	0.1531392694168712	39.625	4	4	hidden_state_004	0.5242904683944468	4
ViT	vit_base	scc	0.6722795864354627	0.12405986026351425	43.875	4	3	hidden_state_003	0.5788403994672866	5
