dataset	model_key	family	layer_index	layer_name	quality_score	slice_count	raw_value_mean	dataset_rank	dataset_rank_int
koniq10k	resnext101_32x8d	ResNeXt	0	feature_map_000	0.5188676711422789	8	0.10046279751722739	61.0	61
koniq10k	resnext50_32x4d	ResNeXt	0	feature_map_000	0.5531595378954727	8	0.10630060572454894	55.0	55
koniq10k	siglip2_base	SigLIP2	1	pooler_output	0.05543265985169768	8	-0.013549782095337515	75.0	75
koniq10k	siglip2_base_naflex	SigLIP2	1	pooler_output	0.09871108367526889	8	0.005258181199743744	74.0	74
koniq10k	siglip2_large	SigLIP2	1	pooler_output	0.14742375277634376	8	0.020122616117577086	72.0	72
koniq10k	siglip2_so400m	SigLIP2	1	pooler_output	0.19418900873370537	8	0.033692334397440175	71.0	71
koniq10k	siglip2_so400m_naflex	SigLIP2	1	pooler_output	0.1344077595790346	8	0.016807138320464585	73.0	73
koniq10k	siglip_base	SigLIP	1	hidden_state_001	0.7442856696875753	8	0.15670212402597708	28.0	28
koniq10k	siglip_large	SigLIP	8	hidden_state_008	0.8771130375241023	8	0.20707453081124072	15.0	15
koniq10k	siglip_so400m	SigLIP	8	hidden_state_008	0.9056979482844357	8	0.22226109349227682	14.0	14
koniq10k	swin_base	Swin	3	hidden_state_003	0.7447870365241134	8	0.15380528985491626	27.0	27
koniq10k	swin_large	Swin	3	hidden_state_003	0.6499803920255837	8	0.12706228149343993	44.0	44
koniq10k	swin_small	Swin	3	hidden_state_003	0.5971462106649625	8	0.1187005750427971	49.0	49
koniq10k	swin_tiny	Swin	3	hidden_state_003	0.4566106187057485	8	0.09085687702317163	67.0	67
koniq10k	swinv2_base	SwinV2	2	hidden_state_002	0.5212056117961377	8	0.10113059175117786	60.0	60
koniq10k	swinv2_large	SwinV2	3	hidden_state_003	0.7562005919217684	8	0.15744496476322137	26.0	26
koniq10k	swinv2_small	SwinV2	2	hidden_state_002	0.4900096993482037	8	0.09604673992969844	62.0	62
koniq10k	swinv2_tiny	SwinV2	1	hidden_state_001	0.48899477271441916	8	0.0960680806510559	64.0	64
koniq10k	vgg11	VGG	1	feature_map_001	0.5817014194482466	8	0.12130974811256846	51.0	51
koniq10k	vgg11_bn	VGG	0	feature_map_000	0.5337251447695037	8	0.10449669067515732	58.0	58
koniq10k	vgg13	VGG	1	feature_map_001	0.5467916994115086	8	0.11436232512560003	56.0	56
koniq10k	vgg13_bn	VGG	1	feature_map_001	0.5254290707222851	8	0.10212052424769229	59.0	59
koniq10k	vgg16	VGG	1	feature_map_001	0.5801604019835914	8	0.12586574690912675	52.0	52
koniq10k	vgg16_bn	VGG	1	feature_map_001	0.6928171237314787	8	0.13733781167672093	37.0	37
koniq10k	vgg19	VGG	1	feature_map_001	0.5370973211049636	8	0.11111437587420903	57.0	57
koniq10k	vgg19_bn	VGG	1	feature_map_001	0.6813925671021858	8	0.13428633171448395	40.0	40
koniq10k	vit_base	ViT	7	hidden_state_007	0.81608467362927	8	0.18377214731197306	19.0	19
koniq10k	vit_huge	ViT	15	hidden_state_015	0.8340507640627369	8	0.18632576112081842	17.0	17
koniq10k	vit_large	ViT	8	hidden_state_008	0.7726500054547786	8	0.16674120600629647	23.0	23
koniq10k	vit_mae_base	MAE	3	hidden_state_003	0.6943300643923124	8	0.13820371933296172	36.0	36
koniq10k	vit_mae_huge	MAE	12	hidden_state_012	0.7943006571819299	8	0.1678398818554961	20.0	20
koniq10k	vit_mae_large	MAE	7	hidden_state_007	0.8213272832883212	8	0.17976523455144364	18.0	18
koniq10k	vit_small	ViT	7	block_007	0.9443496368646642	8	0.24610685807110066	8.0	8
koniq10k	vit_tiny	ViT	4	block_004	0.9520737359157628	8	0.2533184256368014	6.0	6
