model_key	family	layer_index	layer_name	mean_alignment	min_alignment	max_alignment	dataset_count
dinov3_vith16plus	DINOv3	26	block_026	0.3933591555281132	0.3212780076447913	0.4996555011842961	4
dinov3_vith16plus	DINOv3	27	block_027	0.3723807208359087	0.2979127978754687	0.4822264537008423	4
dinov3_vith16plus	DINOv3	28	block_028	0.3591628031030696	0.24622152827120958	0.4481417367919694	4
dinov3_vith16plus	DINOv3	29	block_029	0.2634520329577737	0.15192435533495577	0.3282857874036959	4
dinov3_vith16plus	DINOv3	30	block_030	0.09095896180422497	0.06883502044094782	0.10785948958309972	4
dinov3_vith16plus	DINOv3	31	block_031	0.1839115309837422	0.12101093643423111	0.3286217985091137	4
dinov3_vith16plus	DINOv3	32	canonical_embedding	0.20174989551131767	0.13940901825522845	0.3233715712538416	4
dinov3_vitl16	DINOv3	0	block_000	0.42941543275731403	0.343239106546164	0.47316481994459836	4
dinov3_vitl16	DINOv3	1	block_001	0.5126823728426951	0.44403392313845097	0.5657706660671112	4
dinov3_vitl16	DINOv3	2	block_002	0.5601647588172833	0.5215186516212788	0.6042075714460612	4
dinov3_vitl16	DINOv3	3	block_003	0.5403911236504628	0.4916631937436304	0.6064370249467665	4
dinov3_vitl16	DINOv3	4	block_004	0.6055835182916651	0.5720952914958216	0.6798170526590396	4
dinov3_vitl16	DINOv3	5	block_005	0.6169208110205484	0.5745886532907737	0.7076904417830594	4
dinov3_vitl16	DINOv3	6	block_006	0.6388999075310312	0.5946781114275675	0.7111730689797605	4
dinov3_vitl16	DINOv3	7	block_007	0.6433042293344035	0.5912004384292795	0.6899738011639597	4
dinov3_vitl16	DINOv3	8	block_008	0.6569719293634313	0.6111112668475701	0.7228520221420572	4
dinov3_vitl16	DINOv3	9	block_009	0.6919442846233319	0.6393575777623287	0.7643362111359094	4
dinov3_vitl16	DINOv3	10	block_010	0.6344807042818519	0.5545071377133901	0.7346803294943527	4
dinov3_vitl16	DINOv3	11	block_011	0.6527669281244817	0.5828283578649404	0.746593965039943	4
dinov3_vitl16	DINOv3	12	block_012	0.591775540329539	0.4921349973462507	0.7097480188957169	4
dinov3_vitl16	DINOv3	13	block_013	0.5642617488927921	0.4576959040065384	0.69364398813802	4
dinov3_vitl16	DINOv3	14	block_014	0.415120280243432	0.3329270947799631	0.5115074848085726	4
dinov3_vitl16	DINOv3	15	block_015	0.37517702865197217	0.28838304129632536	0.43991813365246507	4
dinov3_vitl16	DINOv3	16	block_016	0.30400627808185604	0.20915725706981228	0.335983020907485	4
dinov3_vitl16	DINOv3	17	block_017	0.34066891957882883	0.24791305358081725	0.40136755803463453	4
dinov3_vitl16	DINOv3	18	block_018	0.29732772288370524	0.18884618595182387	0.376820334790289	4
dinov3_vitl16	DINOv3	19	block_019	0.2359083482325348	0.15682684784423365	0.2885263598921096	4
dinov3_vitl16	DINOv3	20	block_020	0.19182916770478997	0.1465705118621346	0.24314179633564545	4
dinov3_vitl16	DINOv3	21	block_021	0.17209412413976666	0.1269713899665852	0.23191558009476368	4
dinov3_vitl16	DINOv3	22	block_022	0.11791645771666755	0.09049588647897044	0.13603763712421643	4
dinov3_vitl16	DINOv3	23	block_023	0.2642759556720204	0.20972234681138946	0.3830533049737095	4
dinov3_vitl16	DINOv3	24	canonical_embedding	0.2550779738883576	0.19617724615580126	0.31725151226490683	4
dinov3_vits16	DINOv3	0	block_000	0.47365028469598935	0.4232805604768277	0.5048618538701188	4
dinov3_vits16	DINOv3	1	block_001	0.5954423405766197	0.5581609486468371	0.6318647802412181	4
dinov3_vits16	DINOv3	2	block_002	0.6227428207303904	0.5790868957350991	0.6719737077399763	4
dinov3_vits16	DINOv3	3	block_003	0.5804144867683259	0.5220532014471814	0.6643677488946739	4
dinov3_vits16	DINOv3	4	block_004	0.5576264067125565	0.4797062272525093	0.6976249674735518	4
dinov3_vits16	DINOv3	5	block_005	0.5186510581980883	0.42093337843461187	0.6796650664227326	4
dinov3_vits16	DINOv3	6	block_006	0.45179188230939665	0.34074288471265995	0.6494057260304437	4
dinov3_vits16	DINOv3	7	block_007	0.38499791197033534	0.2827878196646558	0.5976081454250333	4
dinov3_vits16	DINOv3	8	block_008	0.31138766093164916	0.18990838647061314	0.4772014673870057	4
dinov3_vits16	DINOv3	9	block_009	0.23467204917343232	0.1544948501067729	0.3110965625705695	4
dinov3_vits16	DINOv3	10	block_010	0.19807228578025327	0.13665391496540158	0.23480771280894394	4
dinov3_vits16	DINOv3	11	block_011	0.2573381881021384	0.1379342243950573	0.35660435917452177	4
dinov3_vits16	DINOv3	12	canonical_embedding	0.28764626806365995	0.13657355495254397	0.4247301451109453	4
dinov3_vits16plus	DINOv3	0	block_000	0.6495738407048625	0.6167494580036433	0.6723311404489166	4
dinov3_vits16plus	DINOv3	1	block_001	0.624158176610669	0.5454681157632706	0.7406118210569633	4
dinov3_vits16plus	DINOv3	2	block_002	0.6294711228788608	0.5729493872463307	0.6925388769864059	4
dinov3_vits16plus	DINOv3	3	block_003	0.6083723095944722	0.5427015649751016	0.7152818853762235	4
dinov3_vits16plus	DINOv3	4	block_004	0.5901549075499932	0.5166219080083425	0.7089226065405958	4
dinov3_vits16plus	DINOv3	5	block_005	0.5047382057347697	0.4153017580552348	0.6589776722411554	4
dinov3_vits16plus	DINOv3	6	block_006	0.43981906320614583	0.3635661406512027	0.6250972927678374	4
dinov3_vits16plus	DINOv3	7	block_007	0.3061893209099884	0.2334826690238937	0.41975023126734506	4
dinov3_vits16plus	DINOv3	8	block_008	0.20431319660391256	0.07487154856859504	0.2649845191301367	4
