family	model_key	corr_metric	global_metric_score	metric_score_std	mean_dataset_rank	dataset_count	global_best_layer_index	global_best_layer	global_best_layer_score	family_rank
DINOv3	dinov3_vitb16	pcc	0.6826365378930362	0.06132916169396217	44.5	4	3	block_003	0.6783545993568467	3
DINOv3	dinov3_vits16plus	pcc	0.6684002735363466	0.05520264095841824	48.25	4	0	block_000	0.6437348374297539	4
DINOv3	dinov3_vits16	pcc	0.6298699171514821	0.06026843420524931	54.0	4	2	block_002	0.6105283343826262	5
FastViT	fastvit_sa24	pcc	0.8357082745827771	0.0636935017245239	24.5	4	2	feature_map_002	0.8357082745827771	1
FastViT	fastvit_ma36	pcc	0.8140736143454423	0.10361559679213767	28.75	4	1	feature_map_001	0.8140008059689219	2
FastViT	fastvit_sa12	pcc	0.6644409328425741	0.05647317209535941	47.5	4	1	feature_map_001	0.6599244230443062	3
FastViT	fastvit_t12	pcc	0.6292814468293837	0.06316287202647189	53.5	4	0	feature_map_000	0.6292814468293837	4
FastViT	fastvit_s12	pcc	0.6154991367017331	0.08250125972014935	55.0	4	1	feature_map_001	0.5658316069632817	5
FastViT	fastvit_sa36	pcc	0.5730116891980832	0.07683518030102048	58.75	4	0	feature_map_000	0.5730116891980832	6
FastViT	fastvit_t8	pcc	0.5241239031921787	0.03150445263003842	65.5	4	1	feature_map_001	0.5241239031921787	7
FastViTHD	fastvithd_05b	pcc	0.6997166946634593	0.1181159262795351	41.5	4	8	block_008	0.6608365664116645	1
FastViTHD	fastvithd_15b	pcc	0.6995257185411925	0.1381012032191493	42.0	4	5	block_005	0.6792750643237111	2
FastViTHD	fastvithd_7b	pcc	0.6688097013105949	0.1397842172361332	45.0	4	8	block_008	0.6392088699659932	3
I-JEPA	ijepa_vith14	pcc	0.7924864206821247	0.06315776362852261	28.5	4	21	hidden_state_021	0.7902867871275894	1
InternViT	internvit_6b_v25	pcc	0.9485637560412686	0.03865327122680282	10.25	4	24	hidden_state_024	0.9446761055769051	1
InternViT	internvit_300m_v25	pcc	0.9209760081009796	0.060788690414965936	11.75	4	9	hidden_state_009	0.9209760081009796	2
InternViT	internvit_300m	pcc	0.8953785320771008	0.07278986234648041	15.0	4	9	hidden_state_009	0.8877809767476824	3
MAE	vit_mae_large	pcc	0.940288219760786	0.052764708787501655	8.75	4	9	hidden_state_009	0.9219934528373377	1
MAE	vit_mae_huge	pcc	0.9149992789688337	0.0648285604538435	12.25	4	7	hidden_state_007	0.8960026474014267	2
MAE	vit_mae_base	pcc	0.8831912584516438	0.053546587697512756	17.0	4	3	hidden_state_003	0.8816328905285106	3
ResNeXt	resnext101_32x8d	pcc	0.7772354914012221	0.05769336374233848	30.5	4	2	feature_map_002	0.7740467580374999	1
ResNeXt	resnext50_32x4d	pcc	0.7205520074090267	0.03798994016866769	37.75	4	2	feature_map_002	0.7205520074090267	2
ResNet	resnet18	pcc	0.759643696324521	0.017875441098772902	34.0	4	1	hidden_state_001	0.7262331950675958	1
ResNet	resnet34	pcc	0.7267582833876692	0.062214966703468585	38.75	4	1	hidden_state_001	0.7205452840135526	2
ResNet	resnet50	pcc	0.7213616051579186	0.03765980586162127	37.75	4	2	hidden_state_002	0.6952547733160364	3
ResNet	resnet101	pcc	0.6876433522060734	0.038948619414170785	44.25	4	2	hidden_state_002	0.6742316082722808	4
ResNet	resnet152	pcc	0.6762723835947249	0.06841421922091324	46.75	4	2	hidden_state_002	0.6762723835947249	5
SigLIP	siglip_so400m	pcc	0.9518770428471246	0.03810144236850558	7.75	4	7	hidden_state_007	0.9259547146816636	1
SigLIP	siglip_large	pcc	0.9267327250691981	0.02341431847598338	12.5	4	8	hidden_state_008	0.9131776378131748	2
SigLIP	siglip_base	pcc	0.805186685371776	0.07568240775119266	27.25	4	3	hidden_state_003	0.7961733058044773	3
SigLIP2	siglip2_large	pcc	0.1880597779214084	0.08297465934007887	71.5	4	1	pooler_output	0.17682674982926455	1
SigLIP2	siglip2_so400m	pcc	0.18449395391353296	0.08627886030417094	71.25	4	1	pooler_output	0.18449395391353296	2
SigLIP2	siglip2_base_naflex	pcc	0.09457756115510182	0.031356440969374275	74.0	4	1	pooler_output	0.09457756115510182	3
SigLIP2	siglip2_base	pcc	0.09001064826401137	0.036394901719108065	73.75	4	1	pooler_output	0.09001064826401137	4
Swin	swin_base	pcc	0.6431504573332203	0.03448795691764073	50.75	4	3	hidden_state_003	0.6406398549860296	1
Swin	swin_large	pcc	0.6034900538402966	0.07593131715964348	55.0	4	3	hidden_state_003	0.5753879448238421	2
Swin	swin_tiny	pcc	0.591440527123367	0.07347089312304415	55.75	4	2	hidden_state_002	0.5888212524946843	3
Swin	swin_small	pcc	0.5487229177006132	0.030591160996516528	64.5	4	2	hidden_state_002	0.5168274754727434	4
SwinV2	swinv2_large	pcc	0.6756382105563734	0.07684110945243985	46.25	4	3	hidden_state_003	0.6756382105563734	1
SwinV2	swinv2_tiny	pcc	0.6153967677831288	0.0726810459228062	51.75	4	2	hidden_state_002	0.6115840805769415	2
SwinV2	swinv2_base	pcc	0.5626207364200305	0.05519647159493701	61.75	4	2	hidden_state_002	0.5626207364200305	3
SwinV2	swinv2_small	pcc	0.530985970691916	0.07320513216148027	65.0	4	2	hidden_state_002	0.5301711616723177	4
VGG	vgg19_bn	pcc	0.8231868517643849	0.032233738342968006	24.75	4	2	feature_map_002	0.8231868517643849	1
VGG	vgg16_bn	pcc	0.7615148895625002	0.023463218904018736	33.0	4	1	feature_map_001	0.717204430871095	2
VGG	vgg11_bn	pcc	0.7250060005924996	0.03794971135841322	38.25	4	2	feature_map_002	0.7250060005924996	3
VGG	vgg13_bn	pcc	0.6904615562620078	0.05530128334670996	43.5	4	1	feature_map_001	0.687821168271924	4
VGG	vgg13	pcc	0.687059219002981	0.02431463036128605	43.25	4	1	feature_map_001	0.687059219002981	5
VGG	vgg16	pcc	0.676548746046064	0.027233991156209034	46.25	4	1	feature_map_001	0.676548746046064	6
VGG	vgg19	pcc	0.649702401211131	0.023900771226365063	51.0	4	1	feature_map_001	0.649702401211131	7
VGG	vgg11	pcc	0.5809360996991427	0.025813329806035408	61.0	4	2	feature_map_002	0.566597201907273	8
ViT	vit_tiny	pcc	0.9352603805472754	0.024024635279419723	11.25	4	3	block_003	0.9352603805472754	1
ViT	vit_small	pcc	0.913988632907007	0.04704569691112765	14.0	4	3	block_003	0.9109178926107785	2
ViT	vit_huge	pcc	0.878026286591597	0.06234484747410733	18.0	4	8	hidden_state_008	0.8603540010168331	3
ViT	vit_base	pcc	0.8114449331377442	0.13488831059002412	29.0	4	3	hidden_state_003	0.8014369784867774	4
ViT	vit_large	pcc	0.8113137108395412	0.12432225661103541	28.5	4	5	hidden_state_005	0.7919142743672265	5
CLIP	clip_vit_l14	scc	0.9682845476030063	0.029348871447081468	5.25	4	6	hidden_state_006	0.9596311104225663	1
CLIP	clip_vit_l14_336	scc	0.95952212842991	0.041469379022585594	6.75	4	6	hidden_state_006	0.9404961016822525	2
CLIP	clip_vit_b16	scc	0.9509528155468239	0.029630502722237457	8.5	4	4	hidden_state_004	0.936534003087701	3
CLIP	clip_vit_b32	scc	0.9262464020424963	0.045439587317165124	12.75	4	4	hidden_state_004	0.8906653521700831	4
ConvNeXt	convnext_small	scc	0.690158075322109	0.03945328107523049	43.75	4	1	hidden_state_001	0.690158075322109	1
ConvNeXt	convnext_base	scc	0.6722875060662784	0.08957810907393468	47.5	4	1	hidden_state_001	0.6722875060662784	2
ConvNeXt	convnext_tiny	scc	0.5589406376900442	0.07009464515407354	61.25	4	1	hidden_state_001	0.5589406376900442	3
ConvNeXt	convnext_large	scc	0.49701385342236215	0.09729200531185497	65.25	4	1	hidden_state_001	0.4768465883567727	4
DINO	dino_vitb8	scc	0.848452747336492	0.08342292910906687	22.0	4	6	hidden_state_006	0.8379149566388177	1
DINO	dino_vits16	scc	0.7723723347960045	0.1067857552973219	33.5	4	5	hidden_state_005	0.7590486913851517	2
DINO	dino_vits8	scc	0.7631170703211104	0.0818915521172935	35.5	4	5	hidden_state_005	0.7631170703211104	3
DINO	dino_vitb16	scc	0.7468058991329156	0.11386554395233427	38.5	4	5	hidden_state_005	0.7449257715121317	4
DINOv2	dinov2_large	scc	0.9776421686218117	0.0125217636693012	4.875	4	10	hidden_state_010	0.9772355701088006	1
DINOv2	dinov2_giant	scc	0.9618035971799272	0.019772285847668724	7.25	4	16	hidden_state_016	0.9553430312532271	2
DINOv2	dinov2_base	scc	0.9573908913145946	0.023692794900457153	9.0	4	4	hidden_state_004	0.9557273495578729	3
DINOv2	dinov2_small	scc	0.9187693135637938	0.02799554143721264	13.5	4	5	hidden_state_005	0.9178608833312357	4
DINOv3	dinov3_vith16plus	scc	0.736483272464006	0.026303987635557673	35.25	4	10	block_010	0.7317783468134484	1
DINOv3	dinov3_vitl16	scc	0.6992963367897789	0.049641404898156063	42.0	4	9	block_009	0.6992963367897789	2
DINOv3	dinov3_vitb16	scc	0.6897965556374857	0.04938525692317304	43.5	4	3	block_003	0.6874606395025723	3
DINOv3	dinov3_vits16plus	scc	0.6672110262023689	0.039827067406279185	47.25	4	0	block_000	0.654432215793447	4
DINOv3	dinov3_vits16	scc	0.6336965868443076	0.03262683672753451	54.5	4	2	block_002	0.6302695422346423	5
FastViT	fastvit_sa24	scc	0.8320046282479283	0.04454426257370482	25.0	4	2	feature_map_002	0.8320046282479283	1
FastViT	fastvit_ma36	scc	0.809256377479684	0.0735717461357575	29.5	4	1	feature_map_001	0.809256377479684	2
FastViT	fastvit_sa12	scc	0.6780900329490136	0.061234743090614906	46.25	4	1	feature_map_001	0.6649480755846725	3
FastViT	fastvit_s12	scc	0.6515559575053294	0.06536190036467243	49.0	4	1	feature_map_001	0.6259987869626937	4
FastViT	fastvit_t12	scc	0.6265151947515718	0.065961060825874	54.75	4	0	feature_map_000	0.6230300646400476	5
FastViT	fastvit_sa36	scc	0.5491595523347954	0.051889602530163045	63.0	4	0	feature_map_000	0.5491595523347954	6
FastViT	fastvit_t8	scc	0.5417119798680206	0.01579882254304972	65.5	4	1	feature_map_001	0.5417119798680206	7
