model_key	family	layer_index	layer_name	mean_quality	min_quality	max_quality	dataset_count
dinov2_small	DINOv2	1	hidden_state_001	0.8257005565074208	0.7294841792899388	0.9338049420859759	4
dinov2_small	DINOv2	2	hidden_state_002	0.8323537496371815	0.7259877860617107	0.91201450293898	4
dinov2_small	DINOv2	3	hidden_state_003	0.869573633617381	0.7773133798103162	0.9098461105753777	4
dinov2_small	DINOv2	4	hidden_state_004	0.8306091999685346	0.5997200954597411	0.9315062877037967	4
dinov2_small	DINOv2	5	hidden_state_005	0.7251764038977763	0.1419214920003982	0.9307865516584064	4
dinov2_small	DINOv2	6	hidden_state_006	0.7279218000999164	0.20996165820538434	0.9484548918690618	4
dinov2_small	DINOv2	7	hidden_state_007	0.7287349702387045	0.1375993514161063	0.9689120048515022	4
dinov2_small	DINOv2	8	hidden_state_008	0.6116525693062762	0.3890483245631198	0.8151759430358544	4
dinov2_small	DINOv2	9	hidden_state_009	0.5026556636421035	0.30400625032704653	0.7228048580150493	4
dinov2_small	DINOv2	10	hidden_state_010	0.5490932495746197	0.38218871708042734	0.8313490939734388	4
dinov2_small	DINOv2	11	hidden_state_011	0.3857089327739108	0.10848676837114206	0.697967940664614	4
dinov2_small	DINOv2	12	hidden_state_012	0.24223471954654466	0.026549971704462702	0.8520113352006508	4
dinov2_small	DINOv2	13	canonical_embedding	0.31278931864161125	0.08296992868862524	0.866606618164468	4
dinov3_vit7b16	DINOv3	0	block_000	0.6603734948075507	0.42694380633380213	0.8792041460283462	3
dinov3_vit7b16	DINOv3	1	block_001	0.6496836990675611	0.5310685969895698	0.7258526083733593	3
dinov3_vit7b16	DINOv3	2	block_002	0.5943292850378331	0.5397862582491084	0.6630916602639385	3
dinov3_vit7b16	DINOv3	3	block_003	0.5350852513330245	0.5047090631007363	0.5695628222558841	3
dinov3_vit7b16	DINOv3	4	block_004	0.48960175040663434	0.46205541796675215	0.5357276745745214	3
dinov3_vit7b16	DINOv3	5	block_005	0.47100404099766763	0.3814229800190164	0.5333097849171136	3
dinov3_vit7b16	DINOv3	6	block_006	0.48979669249431285	0.3526103184737426	0.5728935562986395	3
dinov3_vit7b16	DINOv3	7	block_007	0.49145149430421453	0.2881769240406828	0.5987560997836919	3
dinov3_vit7b16	DINOv3	8	block_008	0.501229134699209	0.24159031346219195	0.645270281888242	3
dinov3_vit7b16	DINOv3	9	block_009	0.49577272081983237	0.20745577564043152	0.6764719220809591	3
dinov3_vit7b16	DINOv3	10	block_010	0.5001483611586793	0.20529282816216826	0.7038340085078871	3
dinov3_vit7b16	DINOv3	11	block_011	0.4876962414547872	0.17955242305038666	0.7252547164782712	3
dinov3_vit7b16	DINOv3	12	block_012	0.4710743061021727	0.1612439586787356	0.7465764480430828	3
dinov3_vit7b16	DINOv3	13	block_013	0.45682640833432453	0.14388588682133824	0.7677889939096734	3
dinov3_vit7b16	DINOv3	14	block_014	0.44542357124057275	0.1472683616691896	0.7841298802568185	3
dinov3_vit7b16	DINOv3	15	block_015	0.4277346417856376	0.13824456710157312	0.7959572920571274	3
dinov3_vit7b16	DINOv3	16	block_016	0.4192014426920514	0.1543870804971733	0.8027984853278494	3
dinov3_vit7b16	DINOv3	17	block_017	0.42467701349697234	0.17630510560298224	0.8156714361616155	3
dinov3_vit7b16	DINOv3	18	block_018	0.42530108770598557	0.19124986698795515	0.8301761543593464	3
dinov3_vit7b16	DINOv3	19	block_019	0.44963853642513524	0.24366830486017432	0.8568567973685387	3
dinov3_vit7b16	DINOv3	20	block_020	0.4662622868300468	0.22914120389500878	0.8693962804645292	3
dinov3_vit7b16	DINOv3	21	block_021	0.4743141233893741	0.21958321964182492	0.8736849356406191	3
dinov3_vit7b16	DINOv3	22	block_022	0.47974138299575847	0.20134441085182844	0.8688019921661411	3
dinov3_vit7b16	DINOv3	23	block_023	0.5080113699305274	0.19280083137951026	0.8667119887616106	3
