dataset	candidate_model_key	family	candidate_layer_index	candidate_layer_name	alignment_score	slice_count	raw_value_mean	dataset_rank
SPAQ	fastvit_t8	FastViT	1	feature_map_001	0.49970153107627596	12	0.25862106480923974	68.0
SPAQ	fastvithd_05b	FastViTHD	18	block_018	0.8268084429095058	12	0.3814487270039402	24.0
SPAQ	fastvithd_15b	FastViTHD	18	block_018	0.8346419089303024	12	0.38569762350974357	21.0
SPAQ	fastvithd_7b	FastViTHD	18	block_018	0.8285111874842706	12	0.3825946271040312	23.0
SPAQ	ijepa_vith14	I-JEPA	21	hidden_state_021	0.6737916096671226	12	0.3148804348138721	41.0
SPAQ	internvit_300m	InternViT	8	hidden_state_008	0.9757135221606751	12	0.5028109182675307	7.0
SPAQ	internvit_300m_v25	InternViT	9	hidden_state_009	0.9856398525860973	12	0.5130367000807317	5.0
SPAQ	internvit_6b_v25	InternViT	24	hidden_state_024	0.9837865108554541	12	0.5104184277970857	6.0
SPAQ	resnet101	ResNet	2	hidden_state_002	0.6783486141946931	12	0.31606266789857335	39.0
SPAQ	resnet152	ResNet	2	hidden_state_002	0.6396208502463128	12	0.30304330802262114	51.0
SPAQ	resnet18	ResNet	1	hidden_state_001	0.7539406774909736	12	0.34727849048627707	32.0
SPAQ	resnet34	ResNet	1	hidden_state_001	0.8112263872380825	12	0.3727490730556345	25.0
SPAQ	resnet50	ResNet	2	hidden_state_002	0.6736682663915738	12	0.3153779837531617	42.0
SPAQ	resnext101_32x8d	ResNeXt	2	feature_map_002	0.8047567053889798	12	0.3691468375513547	26.0
SPAQ	resnext50_32x4d	ResNeXt	2	feature_map_002	0.7043382259499301	12	0.32627548012584373	38.0
SPAQ	siglip2_base	SigLIP2	1	pooler_output	0.12635864486854598	12	0.08818492130547219	72.0
SPAQ	siglip2_base_naflex	SigLIP2	1	pooler_output	0.09320842646373584	12	0.0653185560909698	73.0
SPAQ	siglip2_large	SigLIP2	1	pooler_output	0.28471544768625456	12	0.16337539616734809	70.0
SPAQ	siglip2_so400m	SigLIP2	1	pooler_output	0.2750714674610472	12	0.15647161602798035	71.0
SPAQ	siglip_base	SigLIP	2	hidden_state_002	0.8327835057647408	12	0.3846793389928617	22.0
SPAQ	siglip_large	SigLIP	7	hidden_state_007	0.9033979203576208	12	0.43360209170164005	18.0
SPAQ	siglip_so400m	SigLIP	9	hidden_state_009	0.9937042757756299	12	0.5371439363808331	1.0
SPAQ	swin_base	Swin	3	hidden_state_003	0.6695150086340292	12	0.31297800093836314	44.0
SPAQ	swin_large	Swin	3	hidden_state_003	0.7092531907285725	12	0.32533441926426715	37.0
SPAQ	swin_small	Swin	3	hidden_state_003	0.5742267217599965	12	0.27869952463175246	65.0
SPAQ	swin_tiny	Swin	2	hidden_state_002	0.6278944399592344	12	0.3016043133594976	55.0
SPAQ	swinv2_base	SwinV2	2	hidden_state_002	0.5590592365425011	12	0.279268686975419	66.0
SPAQ	swinv2_large	SwinV2	3	hidden_state_003	0.6257054861593895	12	0.29836273243735395	56.0
SPAQ	swinv2_small	SwinV2	2	hidden_state_002	0.5803634390597007	12	0.28715469375361097	64.0
SPAQ	swinv2_tiny	SwinV2	2	hidden_state_002	0.6683506449981187	12	0.31606615397593935	45.0
SPAQ	vgg11	VGG	2	feature_map_002	0.6005028107316125	12	0.28738813919094713	61.0
SPAQ	vgg11_bn	VGG	2	feature_map_002	0.7620582068130339	12	0.3465466852575791	30.0
SPAQ	vgg13	VGG	1	feature_map_001	0.6603127748748502	12	0.3244368478467929	46.0
SPAQ	vgg13_bn	VGG	1	feature_map_001	0.6762917249121023	12	0.31721118234776596	40.0
SPAQ	vgg16	VGG	1	feature_map_001	0.6449207955516684	12	0.31596414105253073	49.0
SPAQ	vgg16_bn	VGG	2	feature_map_002	0.7297182073363085	12	0.33632301999373104	35.0
SPAQ	vgg19	VGG	1	feature_map_001	0.6410775312158158	12	0.3160692163462257	50.0
SPAQ	vgg19_bn	VGG	2	feature_map_002	0.8042562462778986	12	0.3680919389455315	27.0
SPAQ	vit_base	ViT	3	hidden_state_003	0.5994561059904963	12	0.2943540864471794	62.0
SPAQ	vit_huge	ViT	8	hidden_state_008	0.7906434781308634	12	0.364733269612028	29.0
SPAQ	vit_large	ViT	4	hidden_state_004	0.6173929747906279	12	0.30143425557503756	57.0
SPAQ	vit_mae_base	MAE	3	hidden_state_003	0.8901537025408714	12	0.43247870587389947	19.0
SPAQ	vit_mae_huge	MAE	6	hidden_state_006	0.9741909646690039	12	0.5026859016781249	8.0
SPAQ	vit_mae_large	MAE	7	hidden_state_007	0.9896796563332412	12	0.5235693844885548	4.0
SPAQ	vit_small	ViT	3	block_003	0.8474365155898425	12	0.3933973046828408	20.0
SPAQ	vit_tiny	ViT	3	block_003	0.924001075204513	12	0.45486382212127147	14.0
koniq10k	clip_vit_b16	CLIP	5	hidden_state_005	0.9807036243827277	12	0.3987843097459316	1.0
koniq10k	clip_vit_b32	CLIP	6	hidden_state_006	0.9550121052687802	12	0.37326747259218246	6.0
koniq10k	clip_vit_l14	CLIP	9	hidden_state_009	0.9735480672206362	12	0.40160056866217175	2.0
koniq10k	clip_vit_l14_336	CLIP	9	hidden_state_009	0.967929436687441	12	0.4150979726972153	3.0
koniq10k	convnext_base	ConvNeXt	1	hidden_state_001	0.6012405476484629	12	0.21625618362093432	58.0
koniq10k	convnext_large	ConvNeXt	2	hidden_state_002	0.44067351256869586	12	0.17942071970635357	69.0
koniq10k	convnext_small	ConvNeXt	1	hidden_state_001	0.6609214407087011	12	0.22762381967351766	45.0
koniq10k	convnext_tiny	ConvNeXt	1	hidden_state_001	0.4302839418600887	12	0.17696754400897818	70.0
koniq10k	dino_vitb16	DINO	6	hidden_state_006	0.7720528955390314	12	0.2582674008574079	31.0
koniq10k	dino_vitb8	DINO	6	hidden_state_006	0.8784485296120641	12	0.2980028525957283	17.0
koniq10k	dino_vits16	DINO	5	hidden_state_005	0.7850199028100496	12	0.26219554381822313	29.0
koniq10k	dino_vits8	DINO	6	hidden_state_006	0.7553796494568258	12	0.25262894066406444	36.0
koniq10k	dinov2_base	DINOv2	4	hidden_state_004	0.9170081463700831	12	0.3268882781317159	15.0
koniq10k	dinov2_giant	DINOv2	14	hidden_state_014	0.9513901303073524	12	0.3465744584663419	8.0
koniq10k	dinov2_large	DINOv2	10	hidden_state_010	0.9632414476474817	12	0.36105593456880153	4.0
koniq10k	dinov2_small	DINOv2	5	hidden_state_005	0.8720189181562406	12	0.3061859443958818	19.0
koniq10k	dinov3_vit7b16	DINOv3	8	block_008	0.5732097531571599	12	0.20919070044692656	62.0
koniq10k	dinov3_vitb16	DINOv3	2	block_002	0.605189592302222	12	0.21647187123749853	57.0
koniq10k	dinov3_vith16plus	DINOv3	10	block_010	0.7003335970956476	12	0.2380263476921574	42.0
koniq10k	dinov3_vitl16	DINOv3	9	block_009	0.6453933837949176	12	0.22733990790961223	47.0
koniq10k	dinov3_vits16	DINOv3	1	block_001	0.5839064215569021	12	0.21107234431359123	61.0
koniq10k	dinov3_vits16plus	DINOv3	0	block_000	0.6167494580036433	12	0.21811342286860783	52.0
koniq10k	fastvit_ma36	FastViT	1	feature_map_001	0.7882974353175869	12	0.26983448379979696	27.0
koniq10k	fastvit_s12	FastViT	1	feature_map_001	0.5930693620402515	12	0.2126153606823681	59.0
koniq10k	fastvit_sa12	FastViT	1	feature_map_001	0.6557431590141839	12	0.22899402291546897	46.0
koniq10k	fastvit_sa24	FastViT	2	feature_map_002	0.7909478941277213	12	0.26845910502794923	26.0
koniq10k	fastvit_sa36	FastViT	0	feature_map_000	0.5421099269228116	12	0.19810279481340706	65.0
koniq10k	fastvit_t12	FastViT	0	feature_map_000	0.7130515512448675	12	0.24130364740043794	40.0
koniq10k	fastvit_t8	FastViT	1	feature_map_001	0.5490196193567597	12	0.20332896228742722	64.0
koniq10k	fastvithd_05b	FastViTHD	18	block_018	0.6358883610657541	12	0.22197964230031708	50.0
koniq10k	fastvithd_15b	FastViTHD	18	block_018	0.6088865754979084	12	0.21598506080162472	56.0
koniq10k	fastvithd_7b	FastViTHD	18	block_018	0.628500103675433	12	0.22013048103049962	51.0
