model_key	family	global_quality_score_fr	quality_rank_fr	global_quality_score_nr	quality_rank_nr	delta_global_quality_score	delta_quality_rank	abs_score_delta
dino_vits8	DINO	0.9086315055762082	14	0.7575899280694539	27	0.1510415775067543	13	0.1510415775067543
swinv2_base	SwinV2	0.4331435873605948	72	0.5820130890233047	63	-0.14886950166270996	-9	0.14886950166270996
fastvit_sa24	FastViT	0.6677509293680297	60	0.804706300836747	21	-0.13695537146871728	-39	0.13695537146871728
dino_vits16	DINO	0.8744191449814127	23	0.7413100260235013	31	0.13310911895791144	8	0.13310911895791144
clip_vit_l14_336	CLIP	0.8365764405204461	36	0.9680160869592831	2	-0.131439646438837	-34	0.131439646438837
swin_small	Swin	0.5534677044609666	65	0.6694663155573813	44	-0.11599861109641474	-21	0.11599861109641474
resnet152	ResNet	0.7275209107806692	54	0.6175821734031925	52	0.10993873737747661	-2	0.10993873737747661
clip_vit_l14	CLIP	0.8528113382899628	34	0.9607250663624677	4	-0.10791372807250488	-30	0.10791372807250488
convnext_tiny	ConvNeXt	0.7020504182156133	59	0.5970779466338378	59	0.10497247158177547	0	0.10497247158177547
dinov2_giant	DINOv2	0.8344272769516728	37	0.9312217837907338	7	-0.09679450683906099	-30	0.09679450683906099
vit_mae_huge	MAE	0.7284502788104089	53	0.8210794724436281	19	-0.0926291936332192	-34	0.0926291936332192
dinov3_vitb16	DINOv3	0.8334979089219331	38	0.7425796543320278	30	0.09091825458990532	-8	0.09091825458990532
swin_tiny	Swin	0.7021956319702602	58	0.6114966883604406	54	0.09069894360981967	-4	0.09069894360981967
vit_base	ViT	0.7690520446096654	49	0.6807466386396445	39	0.0883054059700209	-10	0.0883054059700209
vit_large	ViT	0.7663801115241635	51	0.6789254440991954	40	0.0874546674249681	-11	0.0874546674249681
dinov3_vitl16	DINOv3	0.8640508828996283	29	0.7795761087478085	24	0.08447477415181981	-5	0.08447477415181981
vit_mae_base	MAE	0.7919377323420074	44	0.709068055322863	36	0.08286967701914438	-8	0.08286967701914438
convnext_base	ConvNeXt	0.5289556226765799	67	0.6110923517805613	55	-0.0821367291039814	-12	0.0821367291039814
siglip_base	SigLIP	0.9218459572490706	12	0.8397616370291102	18	0.08208432021996037	6	0.08208432021996037
fastvit_t12	FastViT	0.7041124535315986	57	0.6254250432471592	50	0.07868741028443937	-7	0.07868741028443937
fastvit_sa36	FastViT	0.6616229089219331	61	0.5868364824437462	61	0.0747864264781869	0	0.0747864264781869
fastvit_sa12	FastViT	0.7115473977695167	56	0.6389761016991464	48	0.07257129607037027	-8	0.07257129607037027
dino_vitb8	DINO	0.8454925650557621	35	0.7733084253371145	25	0.07218413971864757	-10	0.07218413971864757
vit_tiny	ViT	0.9396491635687733	4	0.8689541460154974	15	0.0706950175532759	11	0.0706950175532759
vit_mae_large	MAE	0.7782295539033457	47	0.8465308711236075	17	-0.06830131722026178	-30	0.06830131722026178
dinov2_small	DINOv2	0.8552509293680297	32	0.9187538555735085	9	-0.06350292620547882	-23	0.06350292620547882
dinov2_base	DINOv2	0.8848454925650557	19	0.9461080363789107	6	-0.061262543813854986	-13	0.061262543813854986
siglip_so400m	SigLIP	0.8671875	28	0.9181444113858542	10	-0.05095691138585423	-18	0.05095691138585423
convnext_small	ConvNeXt	0.5542809014869888	64	0.6034691678726468	57	-0.049188266385657986	-7	0.049188266385657986
dinov3_vith16plus	DINOv3	0.8025964219330856	43	0.8514422600722272	16	-0.04884583813914167	-27	0.04884583813914167
convnext_large	ConvNeXt	0.5221305762081785	68	0.5656904674672292	67	-0.04355989125905069	-1	0.04355989125905069
dinov3_vit7b16	DINOv3	0.8586779739776952	31	0.828860164134725	74	0.029817809842970222	43	0.029817809842970222
fastvit_ma36	FastViT	0.7830506505576208	45	0.8119470691897798	20	-0.02889641863215897	-25	0.02889641863215897
siglip_large	SigLIP	0.8680297397769516	27	0.8960619426708806	11	-0.028032202893928937	-16	0.028032202893928937
vit_huge	ViT	0.8027416356877324	42	0.7803806621286237	23	0.02236097355910871	-19	0.02236097355910871
vit_small	ViT	0.8622211895910781	30	0.8781609165648097	14	-0.015939726973731583	-16	0.015939726973731583
swinv2_tiny	SwinV2	0.6006331319702602	62	0.5936245070017655	60	0.007008624968494748	-2	0.007008624968494748
clip_vit_b32	CLIP	0.8893180762081785	18	0.8826551468533447	13	0.006662929354833813	-5	0.006662929354833813
clip_vit_b16	CLIP	0.8962883364312267	17	0.8922910203794173	12	0.003997316051809419	-5	0.003997316051809419
ijepa_vith14	I-JEPA	0.7782295539033457	48	0.7808877701082342	22	-0.002658216204888486	-26	0.002658216204888486
