model_key	family	global_alignment_score_fr	alignment_rank_fr	global_alignment_score_nr	alignment_rank_nr	delta_global_alignment_score	delta_alignment_rank	abs_score_delta
fastvit_t8	FastViT	0.6145058859975217	64	0.5342450869866572	66	0.08026079901086447	2	0.08026079901086447
swinv2_tiny	SwinV2	0.6904429987608426	44	0.6118789375501802	59	0.0785640612106624	15	0.0785640612106624
siglip_large	SigLIP	0.8527726146220571	6	0.9255523011481441	13	-0.07277968652608702	7	0.07277968652608702
dinov3_vitb16	DINOv3	0.7572413258983891	26	0.684541834485451	47	0.07269949141293808	21	0.07269949141293808
fastvit_sa12	FastViT	0.7322839219330856	33	0.6668962046010287	50	0.06538771733205684	17	0.06538771733205684
fastvit_ma36	FastViT	0.7463793370508055	29	0.8100625764660968	25	-0.0636832394152913	-4	0.0636832394152913
swinv2_large	SwinV2	0.5964800185873607	69	0.6536752368474545	54	-0.05719521826009388	-15	0.05719521826009388
dinov2_small	DINOv2	0.8651835501858736	4	0.9183877401372332	16	-0.05320418995135967	12	0.05320418995135967
fastvit_sa36	FastViT	0.6088522304832714	65	0.5561192569131765	64	0.052732973570094877	-1	0.052732973570094877
vgg16_bn	VGG	0.7059131040892193	40	0.7490841339398362	32	-0.04317102985061694	-8	0.04317102985061694
dinov3_vits16	DINOv3	0.6715845724907064	50	0.630360517119235	56	0.041224055371471335	6	0.041224055371471335
vgg13_bn	VGG	0.7233968401486989	35	0.6845448477551418	46	0.03885199239355708	11	0.03885199239355708
fastvit_s12	FastViT	0.6755731102850062	49	0.6379260878839982	55	0.037647022401008035	6	0.037647022401008035
convnext_base	ConvNeXt	0.7025441449814126	41	0.6682687643255485	49	0.03427538065586411	8	0.03427538065586411
convnext_small	ConvNeXt	0.6560176579925651	53	0.685514613402179	45	-0.029496955409613945	-8	0.029496955409613945
fastvit_t12	FastViT	0.6538491325898389	54	0.6251195334014559	57	0.028729599188383026	3	0.028729599188383026
swin_large	Swin	0.6027532527881041	67	0.5772779704113374	62	0.02547528237676666	-5	0.02547528237676666
dinov3_vitl16	DINOv3	0.7095918525402726	39	0.6919442846233319	41	0.017647567916940665	2	0.017647567916940665
dinov3_vits16plus	DINOv3	0.6789033457249071	47	0.6666440108568741	51	0.01225933486803299	4	0.01225933486803299
swin_base	Swin	0.614873760842627	62	0.6233588471430368	58	-0.008485086300409783	-4	0.008485086300409783
dinov3_vith16plus	DINOv3	0.7322258364312267	34	0.7281088536980223	36	0.004116982733204488	2	0.004116982733204488
vgg11_bn	VGG	0.7400286555142503	30	0.7362762419119391	35	0.0037524136023112664	5	0.0037524136023112664
