triplet_rank	model_key	family	global_triplet_score	triplet_score_std	mean_dataset_rank	dataset_count	global_best_layer_index	global_best_layer	global_layer_triplet	layer_dataset_count	max_layer_index	dataset_wins	coverage_frac	headline_eligible	global_best_layer_fraction	matched_layer_index	matched_layer_name	selected_flops	profile_input_height	profile_input_width	profile_layer_index	profile_layer_name	flops_join_mode	full_flops	profiled_layer_count	selected_to_full_ratio	flops_saved_ratio	selected_flops_g	full_flops_g	layer_name_match
44	resnet50	ResNet	0.7411934452157789	0.14094988966564376	42.0	8	2	hidden_state_002	0.5745742565193339	8	5	0	1.0	True	0.4	2.0	hidden_state_002	3627122688.0	224.0	224.0	2.0	hidden_state_002	index	8174272512.0	6.0	0.44372421921037125	0.5562757807896288	3.627122688	8.174272512	True
45	fastvit_sa24	FastViT	0.729434112372429	0.1183240658613074	43.625	8	2	feature_map_002	0.6379345681609432	8	3	0	1.0	True	0.6666666666666666	2.0	feature_map_002	5838733312.0	256.0	256.0	2.0	feature_map_002	index	7536312320.0	4.0	0.7747467281186139	0.2252532718813861	5.838733312	7.53631232	True
46	dino_vitb16	DINO	0.7202489782632596	0.18367319961169712	43.125	8	5	hidden_state_005	0.5849342201514793	8	13	0	1.0	True	0.38461538461538464	5.0	hidden_state_005	14770756608.0	224.0	224.0	5.0	hidden_state_005	index	35126120448.0	14.0	0.42050634740225096	0.579493652597749	14.770756608	35.126120448	True
47	vgg11_bn	VGG	0.7060259310335275	0.22356404930100865	44.8125	8	5	feature_map_005	0.5588797709543684	8	5	0	1.0	True	1.0	5.0	feature_map_005	14970912768.0	224.0	224.0	5.0	feature_map_005	index	14970912768.0	6.0	1.0	0.0	14.970912768	14.970912768	True
48	vit_large	ViT	0.7045385584963221	0.14410279231966192	45.125	8	20	hidden_state_020	0.4882952600591616	8	25	0	1.0	True	0.8	20.0	hidden_state_020	102640861184.0	224.0	224.0	20.0	hidden_state_020	index	123107377152.0	26.0	0.8337506943817826	0.16624930561821738	102.640861184	123.107377152	True
49	fastvit_sa12	FastViT	0.7028927637405304	0.10185763700764894	48.0	8	2	feature_map_002	0.5545022750469423	8	3	0	1.0	True	0.6666666666666666	2.0	feature_map_002	3015180288.0	256.0	256.0	2.0	feature_map_002	index	3884253184.0	4.0	0.7762574026894329	0.22374259731056712	3.015180288	3.884253184	True
50	vit_base	ViT	0.7005348805903349	0.12794787209945338	47.875	8	10	hidden_state_010	0.5762629843456339	8	13	0	1.0	True	0.7692307692307693	10.0	hidden_state_010	29310302208.0	224.0	224.0	10.0	hidden_state_010	index	35126120448.0	14.0	0.8344303849720717	0.16556961502792833	29.310302208	35.126120448	True
51	siglip2_large	SigLIP2	0.6844418235522763	0.30136726811868203	40.5	8	1	pooler_output	0.6805106476179099	8	2	0	1.0	True	0.5	1.0	pooler_output	383852478464.0	384.0	384.0	1.0	pooler_output	index	386291728384.0	3.0	0.9936854720389581	0.006314527961041927	383.852478464	386.291728384	True
52	internvit_300m	InternViT	0.6781512495011431	0.2923848723535479	39.4375	8	3	hidden_state_003	0.549385962406321	8	25	0	1.0	True	0.12	3.0	hidden_state_003	91528114176.0	448.0	448.0	3.0	hidden_state_003	index	723593035776.0	26.0	0.12649114854711513	0.8735088514528848	91.528114176	723.593035776	True
53	siglip2_base_naflex	SigLIP2	0.677253253066076	0.3339857737592161	35.1875	8	1	pooler_output	0.6751452311882272	8	2	0	1.0	True	0.5	1.0	pooler_output	46821015552.0			1.0	pooler_output	index	47437578240.0	3.0	0.9870026525198939	0.012997347480106058	46.821015552	47.43757824	True
54	fastvit_s12	FastViT	0.668298231557879	0.1909686831879958	50.5	8	3	feature_map_003	0.4964851152370144	8	3	0	1.0	True	1.0	3.0	feature_map_003	3597139968.0	256.0	256.0	3.0	feature_map_003	index	3597139968.0	4.0	1.0	0.0	3.597139968	3.597139968	True
55	resnet101	ResNet	0.6609584890502544	0.1284582699838099	52.25	8	2	hidden_state_002	0.5641888089852234	8	5	0	1.0	True	0.4	2.0	hidden_state_002	3627122688.0	224.0	224.0	2.0	hidden_state_002	index	15598714880.0	6.0	0.23252702007205353	0.7674729799279465	3.627122688	15.59871488	True
56	convnext_tiny	ConvNeXt	0.6602760777688611	0.1731594524526705	51.625	8	2	hidden_state_002	0.5807836716470111	8	5	0	1.0	True	0.4	2.0	hidden_state_002	3051804672.0	224.0	224.0	2.0	hidden_state_002	index	8909526528.0	6.0	0.3425327555183862	0.6574672444816139	3.051804672	8.909526528	True
57	fastvit_t12	FastViT	0.6466347506494878	0.13793429905434257	54.3125	8	3	feature_map_003	0.45392840570977916	8	3	0	1.0	True	1.0	3.0	feature_map_003	2791833600.0	256.0	256.0	3.0	feature_map_003	index	2791833600.0	4.0	1.0	0.0	2.7918336	2.7918336	True
58	fastvit_t8	FastViT	0.6458661215384096	0.2661434981677251	48.5625	8	3	feature_map_003	0.5141326361890021	8	3	0	1.0	True	1.0	3.0	feature_map_003	1377632256.0	256.0	256.0	3.0	feature_map_003	index	1377632256.0	4.0	1.0	0.0	1.377632256	1.377632256	True
59	swin_tiny	Swin	0.63781567033808	0.11752256097679212	55.125	8	3	hidden_state_003	0.5289160857851986	8	5	0	1.0	True	0.6	3.0	hidden_state_003	7577579520.0	224.0	224.0	3.0	hidden_state_003	index	8979597312.0	6.0	0.8438662956381802	0.15613370436181984	7.57757952	8.979597312	True
60	siglip2_base	SigLIP2	0.6335788228450033	0.28752129554497924	46.25	8	1	pooler_output	0.6113306459990598	8	2	0	1.0	True	0.5	1.0	pooler_output	35416584192.0	224.0	224.0	1.0	pooler_output	index	35891404800.0	3.0	0.986770631836623	0.013229368163377053	35.416584192	35.8914048	True
61	resnet152	ResNet	0.6218785736979295	0.1146552792176435	57.25	8	2	hidden_state_002	0.5315754743360335	8	5	0	1.0	True	0.4	2.0	hidden_state_002	5374050304.0	224.0	224.0	2.0	hidden_state_002	index	23023157248.0	6.0	0.23341934584001675	0.7665806541599832	5.374050304	23.023157248	True
62	siglip2_so400m	SigLIP2	0.6201319795592053	0.27735575246318983	50.25	8	1	pooler_output	0.6149473852109829	8	2	0	1.0	True	0.5	1.0	pooler_output	670346449920.0	384.0	384.0	1.0	pooler_output	index	674244785664.0	3.0	0.9942182189215436	0.005781781078456394	670.34644992	674.244785664	True
63	convnext_small	ConvNeXt	0.6012511135004298	0.1092693793519909	58.125	8	2	hidden_state_002	0.476934796271624	8	5	0	1.0	True	0.4	2.0	hidden_state_002	3051804672.0	224.0	224.0	2.0	hidden_state_002	index	17365888512.0	6.0	0.17573559048770657	0.8242644095122934	3.051804672	17.365888512	True
64	swin_small	Swin	0.5935746426193859	0.08646387022239213	59.0	8	2	hidden_state_002	0.3922870400669702	8	5	0	1.0	True	0.4	2.0	hidden_state_002	3211665408.0	224.0	224.0	2.0	hidden_state_002	index	17480214528.0	6.0	0.18373146409934038	0.8162685359006596	3.211665408	17.480214528	True
65	swinv2_tiny	SwinV2	0.5804005203693748	0.10969083505452576	61.125	8	3	hidden_state_003	0.42158587133518766	8	5	0	1.0	True	0.6	3.0	hidden_state_003	10028759040.0	256.0	256.0	3.0	hidden_state_003	index	11877844992.0	6.0	0.8443247951757746	0.15567520482422537	10.02875904	11.877844992	True
66	swinv2_small	SwinV2	0.5787003491348676	0.09871956777257837	58.9375	8	3	hidden_state_003	0.3990314818710443	8	5	0	1.0	True	0.6	3.0	hidden_state_003	21241092096.0	256.0	256.0	3.0	hidden_state_003	index	23090178048.0	6.0	0.9199189392062673	0.08008106079373267	21.241092096	23.090178048	True
67	swin_base	Swin	0.5762258676646401	0.12269791613106672	58.4375	8	3	hidden_state_003	0.34933992906493666	8	5	0	1.0	True	0.6	3.0	hidden_state_003	28373925888.0	224.0	224.0	3.0	hidden_state_003	index	30859845632.0	6.0	0.9194448418944055	0.08055515810559455	28.373925888	30.859845632	True
68	convnext_base	ConvNeXt	0.5758956590580717	0.1442801698217029	59.625	8	2	hidden_state_002	0.41689905171749597	8	5	0	1.0	True	0.4	2.0	hidden_state_002	5353578496.0	224.0	224.0	2.0	hidden_state_002	index	30707410944.0	6.0	0.17434157851220763	0.8256584214877923	5.353578496	30.707410944	True
69	fastvit_sa36	FastViT	0.5744122092021666	0.13531040741068973	59.75	8	3	feature_map_003	0.4014736350367617	8	3	0	1.0	True	1.0	3.0	feature_map_003	11188371456.0	256.0	256.0	3.0	feature_map_003	index	11188371456.0	4.0	1.0	0.0	11.188371456	11.188371456	True
70	swin_large	Swin	0.549176058377289	0.09199429508107239	61.125	8	3	hidden_state_003	0.36304469540947815	8	5	0	1.0	True	0.6	3.0	hidden_state_003	63369879552.0	224.0	224.0	3.0	hidden_state_003	index	68948447232.0	6.0	0.919090742374095	0.08090925762590495	63.369879552	68.948447232	True
71	convnext_large	ConvNeXt	0.5481067084018314	0.12112502522236546	63.625	8	2	hidden_state_002	0.4783021888669868	8	5	0	1.0	True	0.4	2.0	hidden_state_002	11883884544.0	224.0	224.0	2.0	hidden_state_002	index	68719795200.0	6.0	0.17293247905372106	0.827067520946279	11.883884544	68.7197952	True
72	swinv2_large	SwinV2	0.5448761233477125	0.17831275188175708	58.1875	8	3	hidden_state_003	0.38438186333962693	8	5	0	1.0	True	0.6	3.0	hidden_state_003	88156405760.0	256.0	256.0	3.0	hidden_state_003	index	95477534720.0	6.0	0.9233209258966506	0.0766790741033494	88.15640576	95.47753472	True
73	swinv2_base	SwinV2	0.5338497637950691	0.09952874932239837	63.625	8	2	hidden_state_002	0.38235705641129525	8	5	0	1.0	True	0.4	2.0	hidden_state_002	7439679488.0	256.0	256.0	2.0	hidden_state_002	index	40648220672.0	6.0	0.1830259569793353	0.8169740430206647	7.439679488	40.648220672	True
74	dinov3_vit7b16	DINOv3	0.8790207058210705	0.052474166988255855	24.285714285714285	7	25	block_025	0.7146763901549681	7	40	0	0.875	False	0.625								missing							False
75	siglip2_so400m_naflex	SigLIP2	0.6628792811564006	0.34178422741927705	39.42857142857143	7	1	pooler_output	0.657637713243912	7	2	1	0.875	False	0.5	1.0	pooler_output	220460064768.0			1.0	pooler_output	index	221845340160.0	3.0	0.9937556705450702	0.006244329454929809	220.460064768	221.84534016	True
