model_key	family	layer_index	layer_name	mean_triplet	min_triplet	max_triplet	dataset_count
dinov2_large	DINOv2	24	hidden_state_024	0.4857455172139159	0.018687329079307202	0.9448495897903373	8
dinov2_large	DINOv2	25	canonical_embedding	0.5305473260407171	0.11212397447584321	0.931175934366454	8
dinov2_small	DINOv2	0	hidden_state_000	0.0466519888048299	0.00911577028258892	0.2698268003646308	8
dinov2_small	DINOv2	1	hidden_state_001	0.5057292248305618	0.09936189608021878	0.9266180492251596	8
dinov2_small	DINOv2	2	hidden_state_002	0.5499845635727587	0.13035551504102094	0.9097538742023701	8
dinov2_small	DINOv2	3	hidden_state_003	0.6717072580317035	0.4216043755697356	0.9175022789425706	8
dinov2_small	DINOv2	4	hidden_state_004	0.6939013289286762	0.5004557885141294	0.9245014245014245	8
dinov2_small	DINOv2	5	hidden_state_005	0.5143111317146565	0.13628076572470377	0.9366453965360073	8
dinov2_small	DINOv2	6	hidden_state_006	0.5605431230906011	0.2563810391978122	0.9449192782526116	8
dinov2_small	DINOv2	7	hidden_state_007	0.5588033733544217	0.17593436645396537	0.9672364672364673	8
dinov2_small	DINOv2	8	hidden_state_008	0.6072982107811947	0.3805834092980857	0.8404740200546946	8
dinov2_small	DINOv2	9	hidden_state_009	0.6083187301377062	0.24225159525979945	0.7948951686417502	8
dinov2_small	DINOv2	10	hidden_state_010	0.6715242446593099	0.3933454876937101	0.927073837739289	8
dinov2_small	DINOv2	11	hidden_state_011	0.6687620277524562	0.1522333637192343	0.9243391066545124	8
dinov2_small	DINOv2	12	hidden_state_012	0.5384011562224871	0.04010938924339108	0.9293527803099362	8
dinov2_small	DINOv2	13	canonical_embedding	0.5772750902270806	0.13764813126709208	0.9111212397447584	8
dinov3_vit7b16	DINOv3	0	block_000	0.42648782393540824	0.09571558796718321	0.707383773928897	7
dinov3_vit7b16	DINOv3	1	block_001	0.4476168771975518	0.10619872379216044	0.8021877848678214	7
dinov3_vit7b16	DINOv3	2	block_002	0.43488735512436516	0.12215132178669097	0.7898814949863263	7
