model_key	family	layer_index	layer_name	mean_alignment	min_alignment	max_alignment	dataset_count
internvit_300m	InternViT	24	hidden_state_024	0.02898466542750929	0.015799256505576193	0.04158921933085502	4
internvit_300m	InternViT	25	pooler_output	0.02898466542750929	0.015799256505576193	0.04158921933085502	4
internvit_300m_v25	InternViT	1	hidden_state_001	0.09254956629491946	0.05150247831474598	0.11888166047087982	4
internvit_300m_v25	InternViT	2	hidden_state_002	0.18254337050805453	0.1579925650557621	0.22870198265179678	4
internvit_300m_v25	InternViT	3	hidden_state_003	0.23241945477075587	0.18974597273853777	0.2749380421313507	4
internvit_300m_v25	InternViT	4	hidden_state_004	0.34111679058240396	0.2738537794299876	0.4209262701363073	4
internvit_300m_v25	InternViT	5	hidden_state_005	0.44388940520446096	0.39358736059479554	0.5075898389095416	4
internvit_300m_v25	InternViT	6	hidden_state_006	0.5767309479553903	0.4936493184634448	0.7019826517967781	4
internvit_300m_v25	InternViT	7	hidden_state_007	0.6685447645600991	0.5978159851301116	0.815365551425031	4
internvit_300m_v25	InternViT	8	hidden_state_008	0.7109859045848823	0.6525712515489467	0.855405824039653	4
internvit_300m_v25	InternViT	9	hidden_state_009	0.6661051734820322	0.6133828996282528	0.7787329615861215	4
internvit_300m_v25	InternViT	10	hidden_state_010	0.6432194857496902	0.6041666666666666	0.7077912019826518	4
internvit_300m_v25	InternViT	11	hidden_state_011	0.6059866790582404	0.5868184634448576	0.6326672862453532	4
internvit_300m_v25	InternViT	12	hidden_state_012	0.41372366790582404	0.3715923172242875	0.47777261462205706	4
internvit_300m_v25	InternViT	13	hidden_state_013	0.3942843866171004	0.35943308550185876	0.4492719950433705	4
internvit_300m_v25	InternViT	14	hidden_state_014	0.4067727695167286	0.37910470879801733	0.4567843866171004	4
internvit_300m_v25	InternViT	15	hidden_state_015	0.4237724597273854	0.3897924411400248	0.4703376703841388	4
internvit_300m_v25	InternViT	16	hidden_state_016	0.4327176270136307	0.4010997521685254	0.47645600991325904	4
