reference_model_key	model_key	family	reference_alignment_score	dataset_count
maniqa_kadid10k	dinov3_vits16plus	DINOv3	0.7218478934324659	4
maniqa_kadid10k	dinov3_vits16	DINOv3	0.7166976456009914	4
maniqa_kadid10k	swin_tiny	Swin	0.7122831474597274	4
maniqa_kadid10k	fastvit_sa24	FastViT	0.6976068773234201	4
maniqa_kadid10k	fastvit_sa36	FastViT	0.6734820322180917	4
maniqa_kadid10k	fastvit_sa12	FastViT	0.6650015489467163	4
maniqa_kadid10k	fastvit_t8	FastViT	0.6328996282527881	4
maniqa_kadid10k	swinv2_tiny	SwinV2	0.6221731722428748	4
maniqa_kadid10k	siglip2_large	SigLIP2	0.620159541511772	4
maniqa_kadid10k	fastvit_t12	FastViT	0.61090458488228	4
maniqa_kadid10k	fastvit_s12	FastViT	0.6083488228004956	4
maniqa_kadid10k	convnext_base	ConvNeXt	0.5731877323420074	4
maniqa_kadid10k	convnext_small	ConvNeXt	0.5682698265179678	4
maniqa_kadid10k	swin_small	Swin	0.5628485130111525	4
maniqa_kadid10k	convnext_large	ConvNeXt	0.5456939281288724	4
maniqa_kadid10k	swin_large	Swin	0.5156830855018587	4
maniqa_kadid10k	swin_base	Swin	0.49194547707558856	4
maniqa_kadid10k	internvit_6b_v25	InternViT	0.49004801734820325	4
maniqa_kadid10k	swinv2_large	SwinV2	0.482613073110285	4
maniqa_kadid10k	swinv2_base	SwinV2	0.47723048327137546	4
maniqa_kadid10k	siglip2_so400m	SigLIP2	0.4625929368029739	4
maniqa_kadid10k	swinv2_small	SwinV2	0.45190520446096655	4
maniqa_kadid10k	internvit_300m_v25	InternViT	0.4428438661710037	4
maniqa_kadid10k	internvit_300m	InternViT	0.3991248451053284	4
