family	model_key	corr_metric	global_metric_score	metric_score_std	mean_dataset_rank	dataset_count	global_best_layer_index	global_best_layer	global_best_layer_score	family_rank
FastViT	fastvit_sa36	pcc	0.6879065985130112	0.0767130497291987	55.25	4	3	feature_map_003	0.6662987918215614	6
FastViT	fastvit_sa24	pcc	0.6825046468401487	0.09274324930861044	55.25	4	3	feature_map_003	0.6693192379182156	7
FastViTHD	fastvithd_05b	pcc	0.9952369888475836	0.004151386706599832	1.5	4	44	image_embeddings	0.9952369888475836	1
FastViTHD	fastvithd_15b	pcc	0.9934944237918215	0.0037571936869879932	2.0	4	44	image_embeddings	0.9924488847583643	2
FastViTHD	fastvithd_7b	pcc	0.9743842936802973	0.021775401707522714	6.75	4	45	canonical_embedding	0.9706668215613383	3
I-JEPA	ijepa_vith14	pcc	0.7293796468401487	0.15614043046417186	49.75	4	24	hidden_state_024	0.6891844795539034	1
InternViT	internvit_6b_v25	pcc	0.6144865241635687	0.2307480392513796	55.75	4	45	hidden_state_045	0.6048443308550187	1
InternViT	internvit_300m_v25	pcc	0.4507434944237918	0.08594283431742133	69.75	4	18	hidden_state_018	0.34287871747211895	2
InternViT	internvit_300m	pcc	0.3766263940520446	0.15356374259019587	69.5	4	8	hidden_state_008	0.3374767657992565	3
MAE	vit_mae_base	pcc	0.7987918215613383	0.10403721462927988	40.25	4	11	hidden_state_011	0.7975720260223048	1
MAE	vit_mae_large	pcc	0.7925766728624536	0.1161926530710288	41.25	4	23	hidden_state_023	0.7769516728624535	2
MAE	vit_mae_huge	pcc	0.7278113382899628	0.13443003161137027	49.0	4	22	hidden_state_022	0.7070748141263941	3
ResNeXt	resnext101_32x8d	pcc	0.8878368959107806	0.06010418179931522	25.625	4	3	feature_map_003	0.8878368959107806	1
ResNeXt	resnext50_32x4d	pcc	0.8797049256505576	0.04844522380165514	28.75	4	3	feature_map_003	0.8634990706319703	2
ResNet	resnet34	pcc	0.9206552044609666	0.025091054331839314	21.75	4	3	hidden_state_003	0.9099674721189591	1
ResNet	resnet18	pcc	0.9191449814126393	0.01949735717695839	20.75	4	4	hidden_state_004	0.9191449814126393	2
ResNet	resnet50	pcc	0.8603043680297398	0.08724610601217533	31.125	4	4	hidden_state_004	0.8572839219330854	3
ResNet	resnet101	pcc	0.7904275092936803	0.06122619693253061	44.0	4	3	hidden_state_003	0.7786942379182157	4
ResNet	resnet152	pcc	0.751103624535316	0.0684140450501243	48.25	4	3	hidden_state_003	0.7448884758364313	5
SigLIP	siglip_base	pcc	0.9182736988847584	0.06086082912218152	17.5	4	12	hidden_state_012	0.9090381040892193	1
SigLIP	siglip_so400m	pcc	0.8815055762081785	0.1171986379235095	23.0	4	29	image_embeds_l2	0.8772653345724908	2
SigLIP	siglip_large	pcc	0.8689010223048327	0.09180749378052688	30.375	4	12	hidden_state_012	0.8203415427509294	3
SigLIP2	siglip2_base_naflex	pcc	0.8877207249070632	0.06286845325263656	26.0	4	2	image_embeds_l2	0.8846421933085502	1
SigLIP2	siglip2_base	pcc	0.8342239776951673	0.13730867155583465	33.75	4	2	image_embeds_l2	0.8313777881040892	2
SigLIP2	siglip2_so400m_naflex	pcc	0.8176115241635687	0.11026959995265811	38.0	4	1	pooler_output	0.7996050185873607	3
SigLIP2	siglip2_large	pcc	0.763417750929368	0.08498881589982778	46.5	4	1	pooler_output	0.7608619888475836	4
SigLIP2	siglip2_so400m	pcc	0.638417750929368	0.08732063256250892	60.375	4	2	image_embeds_l2	0.6365009293680297	5
Swin	swin_tiny	pcc	0.7416937732342007	0.04959382872449227	50.25	4	3	hidden_state_003	0.7307156133828996	1
Swin	swin_small	pcc	0.5878833643122676	0.0800079030639192	66.0	4	3	hidden_state_003	0.5587244423791822	2
Swin	swin_large	pcc	0.5544842007434945	0.10563828670360896	66.5	4	3	hidden_state_003	0.522885687732342	3
Swin	swin_base	pcc	0.546875	0.10284767632773074	68.25	4	5	canonical_embedding	0.5225371747211895	4
SwinV2	swinv2_tiny	pcc	0.6576440520446096	0.09196114558328475	58.25	4	3	hidden_state_003	0.6471886617100372	1
SwinV2	swinv2_small	pcc	0.5349674721189591	0.13490174920529344	69.0	4	3	hidden_state_003	0.5282295539033457	2
SwinV2	swinv2_large	pcc	0.5034851301115242	0.11329275985306342	69.875	4	3	hidden_state_003	0.4663104089219331	3
SwinV2	swinv2_base	pcc	0.4848396840148699	0.10942116869246732	72.5	4	5	canonical_embedding	0.4778694237918216	4
VGG	vgg16	pcc	0.9354089219330854	0.06410808187702921	11.25	4	5	feature_map_005	0.9354089219330854	1
VGG	vgg19	pcc	0.9287871747211895	0.08105115309367812	12.25	4	5	feature_map_005	0.9284967472118959	2
VGG	vgg11	pcc	0.9217588289962825	0.045025331860408704	17.875	4	5	feature_map_005	0.9217588289962825	3
VGG	vgg19_bn	pcc	0.921003717472119	0.0660920108654315	16.875	4	5	feature_map_005	0.921003717472119	4
VGG	vgg11_bn	pcc	0.9179251858736059	0.04428245293107768	19.25	4	5	feature_map_005	0.9175766728624536	5
VGG	vgg13	pcc	0.9059595724907064	0.07949465154158629	20.0	4	5	feature_map_005	0.9059595724907064	6
VGG	vgg16_bn	pcc	0.8942843866171004	0.08378998233872717	24.125	4	5	feature_map_005	0.8942843866171004	7
VGG	vgg13_bn	pcc	0.8923094795539034	0.0907212237178511	23.0	4	5	feature_map_005	0.8923094795539034	8
ViT	vit_tiny	pcc	0.9301231412639405	0.025218675376784495	18.25	4	10	block_010	0.9248954460966543	1
ViT	vit_small	pcc	0.8595492565055762	0.0386280378974224	32.5	4	11	block_011	0.8280088289962825	2
ViT	vit_huge	pcc	0.7718982342007434	0.13607928183704704	44.625	4	29	hidden_state_029	0.768935873605948	3
ViT	vit_large	pcc	0.7527881040892194	0.12272112605806454	46.5	4	22	hidden_state_022	0.7526138475836431	4
ViT	vit_base	pcc	0.7425650557620818	0.08671323088465742	47.75	4	11	hidden_state_011	0.7121282527881041	5
CLIP	clip_vit_b16	scc	0.9003252788104089	0.08382524833155025	25.25	4	12	hidden_state_012	0.8898698884758365	1
CLIP	clip_vit_l14	scc	0.8741868029739777	0.09315574524246004	32.5	4	24	hidden_state_024	0.797746282527881	2
CLIP	clip_vit_b32	scc	0.8661710037174721	0.11067189059459039	32.25	4	12	hidden_state_012	0.8638475836431226	3
CLIP	clip_vit_l14_336	scc	0.8490938661710037	0.18030439633784012	28.5	4	24	hidden_state_024	0.8047165427509293	4
ConvNeXt	convnext_tiny	scc	0.6899395910780669	0.0985647128611715	54.5	4	2	hidden_state_002	0.6385920074349443	1
ConvNeXt	convnext_small	scc	0.5347351301115242	0.14120216339894626	65.5	4	4	hidden_state_004	0.5178903345724907	2
ConvNeXt	convnext_large	scc	0.5266031598513011	0.07311532014026276	67.0	4	2	hidden_state_002	0.5031366171003717	3
ConvNeXt	convnext_base	scc	0.5151022304832713	0.1152573270735882	66.5	4	4	hidden_state_004	0.4690985130111524	4
DINO	dino_vits8	scc	0.9285548327137547	0.05707520546030822	23.25	4	12	hidden_state_012	0.908224907063197	1
DINO	dino_vits16	scc	0.9047397769516728	0.08888349704241576	27.0	4	12	hidden_state_012	0.8799953531598513	2
DINO	dino_vitb16	scc	0.8996282527881041	0.08701200423361526	26.875	4	12	hidden_state_012	0.8876626394052045	3
DINO	dino_vitb8	scc	0.8863847583643123	0.06585615241708871	31.25	4	12	hidden_state_012	0.8487453531598513	4
DINOv2	dinov2_base	scc	0.8988150557620818	0.03555572942101044	26.5	4	12	hidden_state_012	0.7661477695167286	1
DINOv2	dinov2_small	scc	0.8673327137546468	0.1106252984238821	31.5	4	13	canonical_embedding	0.8293447955390334	2
DINOv2	dinov2_giant	scc	0.8594330855018588	0.04250969903236986	33.625	4	35	hidden_state_035	0.7338522304832713	3
DINOv2	dinov2_large	scc	0.8049488847583643	0.12184931753361117	40.25	4	23	hidden_state_023	0.7192146840148699	4
DINOv3	dinov3_vits16plus	scc	0.8691914498141264	0.06408807984759714	30.25	4	9	block_009	0.8080855018587361	1
DINOv3	dinov3_vitl16	scc	0.8467704460966543	0.04930401961513244	35.125	4	15	block_015	0.7802044609665427	2
DINOv3	dinov3_vits16	scc	0.8429368029739777	0.06386320647810216	36.5	4	10	block_010	0.7925185873605948	3
DINOv3	dinov3_vitb16	scc	0.8396840148698885	0.05543682244941497	37.125	4	10	block_010	0.7516263940520447	4
DINOv3	dinov3_vit7b16	scc	0.8337592936802973	0.07618152173989033	36.25	4	21	block_021	0.7804368029739777	5
