family	model_key	corr_metric	global_metric_score	metric_score_std	mean_dataset_rank	dataset_count	global_best_layer_index	global_best_layer	global_best_layer_score	family_rank
DINOv3	dinov3_vitb16	pcc	0.7350720260223048	0.017930553179289672	29.0	4	3	block_003	0.7350720260223048	1
DINOv3	dinov3_vith16plus	pcc	0.7344330855018588	0.06931214210970373	35.0	4	8	block_008	0.6899976765799256	2
DINOv3	dinov3_vit7b16	pcc	0.7250813197026023	0.03897822830655711	32.25	4	12	block_012	0.6765799256505576	3
DINOv3	dinov3_vitl16	pcc	0.707307156133829	0.06900017326269141	38.25	4	8	block_008	0.6602578996282528	4
DINOv3	dinov3_vits16plus	pcc	0.6408573420074349	0.024833097546417337	52.0	4	3	block_003	0.6084456319702602	5
DINOv3	dinov3_vits16	pcc	0.6184363382899628	0.034378128897477093	57.25	4	4	block_004	0.5918912639405204	6
FastViT	fastvit_sa24	pcc	0.7284502788104089	0.09901728015667545	34.25	4	2	feature_map_002	0.7284502788104089	1
FastViT	fastvit_ma36	pcc	0.7034735130111525	0.0338456100022681	36.25	4	1	feature_map_001	0.6914498141263941	2
FastViT	fastvit_sa12	pcc	0.6638592007434945	0.03232242894813979	45.25	4	1	feature_map_001	0.6608387546468402	3
FastViT	fastvit_t12	pcc	0.6193076208178439	0.05225487452043958	55.75	4	1	feature_map_001	0.6022885687732342	4
FastViT	fastvit_sa36	pcc	0.6026951672862453	0.0699343653102543	56.625	4	3	feature_map_003	0.5639521375464684	5
FastViT	fastvit_s12	pcc	0.5902648698884758	0.04238267860625368	62.25	4	0	feature_map_000	0.5900325278810409	6
FastViT	fastvit_t8	pcc	0.537000464684015	0.10040043291361808	64.25	4	1	feature_map_001	0.5096421933085502	7
FastViTHD	fastvithd_7b	pcc	0.8116868029739777	0.058118136742953644	15.5	4	43	block_043	0.8015799256505576	1
FastViTHD	fastvithd_15b	pcc	0.8072723048327137	0.04680941899465132	16.75	4	41	block_041	0.780146375464684	2
FastViTHD	fastvithd_05b	pcc	0.8008248141263941	0.08112236661298143	20.75	4	41	block_041	0.7695748141263941	3
I-JEPA	ijepa_vith14	pcc	0.5978740706319703	0.08218183050938654	57.5	4	16	hidden_state_016	0.5756854089219331	1
InternViT	internvit_300m_v25	pcc	0.6924953531598513	0.05540796695322019	43.125	4	8	hidden_state_008	0.6924953531598513	1
InternViT	internvit_6b_v25	pcc	0.6786129182156134	0.09625934905989343	47.5	4	24	hidden_state_024	0.6321445167286246	2
InternViT	internvit_300m	pcc	0.6741403345724908	0.04563214179549678	47.375	4	8	hidden_state_008	0.6734433085501859	3
MAE	vit_mae_huge	pcc	0.792692843866171	0.11986926724577618	24.75	4	7	hidden_state_007	0.7894400557620818	1
MAE	vit_mae_large	pcc	0.7891496282527881	0.06417467523395946	22.0	4	7	hidden_state_007	0.7840961895910781	2
MAE	vit_mae_base	pcc	0.6904042750929368	0.07632965387009623	42.0	4	6	hidden_state_006	0.6621166356877324	3
ResNeXt	resnext101_32x8d	pcc	0.8736059479553904	0.040824480838351156	6.0	4	2	feature_map_002	0.8715729553903346	1
ResNeXt	resnext50_32x4d	pcc	0.8398582713754646	0.04520869650764474	12.25	4	2	feature_map_002	0.8174372676579926	2
ResNet	resnet101	pcc	0.8262081784386617	0.0391125531815425	15.5	4	2	hidden_state_002	0.8262081784386617	1
ResNet	resnet34	pcc	0.7974558550185874	0.07499940528703604	18.5	4	2	hidden_state_002	0.7948420074349443	2
ResNet	resnet50	pcc	0.7954228624535316	0.07239560339468445	18.5	4	2	hidden_state_002	0.7821793680297398	3
ResNet	resnet18	pcc	0.7914149628252788	0.03149943079669783	20.25	4	2	hidden_state_002	0.7784038104089219	4
ResNet	resnet152	pcc	0.7570864312267658	0.041915200055531135	29.0	4	2	hidden_state_002	0.7459340148698885	5
SigLIP	siglip_base	pcc	0.9273350371747212	0.03968506740059233	1.5	4	5	hidden_state_005	0.9241984200743495	1
SigLIP	siglip_large	pcc	0.8874883828996283	0.017181039497397202	4.5	4	12	hidden_state_012	0.8702950743494424	2
SigLIP	siglip_so400m	pcc	0.873896375464684	0.06779339556429108	7.25	4	14	hidden_state_014	0.832307156133829	3
SigLIP2	siglip2_base	pcc	0.7007434944237918	0.10933141947943663	34.75	4	2	image_embeds_l2	0.6985943308550187	1
SigLIP2	siglip2_base_naflex	pcc	0.66682156133829	0.0573232984035517	44.125	4	2	image_embeds_l2	0.6639753717472119	2
SigLIP2	siglip2_large	pcc	0.6658341078066914	0.06505895151999805	47.0	4	1	pooler_output	0.6649628252788103	3
SigLIP2	siglip2_so400m_naflex	pcc	0.6276719330855018	0.0492632178301637	52.5	4	2	image_embeds_l2	0.6259874535315986	4
SigLIP2	siglip2_so400m	pcc	0.5580274163568774	0.01654886427781849	67.25	4	2	image_embeds_l2	0.5552973977695167	5
Swin	swin_tiny	pcc	0.6628717472118959	0.034965735300022505	44.0	4	2	hidden_state_002	0.6402764869888475	1
Swin	swin_small	pcc	0.5950859665427509	0.07509633253547061	59.75	4	2	hidden_state_002	0.5931691449814126	2
Swin	swin_large	pcc	0.5928206319702602	0.04504394909559384	64.0	4	2	hidden_state_002	0.5811454460966543	3
Swin	swin_base	pcc	0.58869656133829	0.06281519359307111	62.625	4	2	hidden_state_002	0.5822490706319703	4
SwinV2	swinv2_tiny	pcc	0.6690288104089219	0.04963901484294961	41.5	4	2	hidden_state_002	0.6690288104089219	1
SwinV2	swinv2_base	pcc	0.6242448884758365	0.055558744573410514	53.5	4	2	hidden_state_002	0.6242448884758365	2
SwinV2	swinv2_large	pcc	0.6226765799256506	0.03622486850839932	57.0	4	2	hidden_state_002	0.5677276951672863	3
SwinV2	swinv2_small	pcc	0.6130343866171004	0.06489135908277738	56.25	4	2	hidden_state_002	0.6130343866171004	4
VGG	vgg19	pcc	0.7760803903345724	0.036922052797468505	22.75	4	2	feature_map_002	0.7757318773234201	1
VGG	vgg11	pcc	0.7526138475836431	0.025857575204354714	26.875	4	5	feature_map_005	0.7526138475836431	2
VGG	vgg11_bn	pcc	0.7512197955390334	0.0368481440391337	25.5	4	5	feature_map_005	0.7481993494423791	3
VGG	vgg13	pcc	0.7489544609665427	0.04799212435080233	25.75	4	5	feature_map_005	0.7414614312267658	4
VGG	vgg13_bn	pcc	0.7414033457249071	0.05477237993430378	27.5	4	4	feature_map_004	0.7377439591078067	5
VGG	vgg16	pcc	0.7379763011152416	0.03315878423960262	29.0	4	3	feature_map_003	0.7153229553903345	6
VGG	vgg16_bn	pcc	0.71369656133829	0.08290791332537385	33.5	4	5	feature_map_005	0.7006273234200744	7
VGG	vgg19_bn	pcc	0.6766960966542751	0.10236089445173889	42.25	4	5	feature_map_005	0.6567727695167287	8
ViT	vit_small	pcc	0.8215613382899628	0.08799169438241947	18.5	4	3	block_003	0.7626045539033457	1
ViT	vit_tiny	pcc	0.8008248141263941	0.06908969513183111	22.0	4	3	block_003	0.756389405204461	2
ViT	vit_huge	pcc	0.5832946096654275	0.07215341668708967	58.5	4	9	hidden_state_009	0.5766147769516728	3
ViT	vit_base	pcc	0.5763243494423792	0.05897312045911687	61.0	4	11	hidden_state_011	0.5314823420074349	4
ViT	vit_large	pcc	0.5332829925650557	0.054331372628885904	69.5	4	4	hidden_state_004	0.47211895910780666	5
CLIP	clip_vit_l14	scc	0.7753833643122677	0.09672160499261082	31.5	4	19	hidden_state_019	0.7101533457249071	1
CLIP	clip_vit_l14_336	scc	0.7392541821561338	0.07976074302767665	38.75	4	19	hidden_state_019	0.6806459107806692	2
CLIP	clip_vit_b32	scc	0.7314126394052045	0.08566821918752623	41.0	4	10	hidden_state_010	0.6503833643122676	3
