quality_rank	model_key	family	global_quality_score	quality_score_std	mean_dataset_rank	dataset_count	global_best_layer_index	global_best_layer	global_layer_quality	layer_dataset_count	dataset_wins	coverage_frac	headline_eligible
66	resnext50_32x4d	ResNeXt	0.568533420295753	0.08396278046119952	54.75	4	1	feature_map_001	0.49701845953857254	4	0	1.0	True
67	convnext_large	ConvNeXt	0.5656904674672292	0.15784684208687505	56.0	4	2	hidden_state_002	0.39278984983212106	4	0	1.0	True
68	vgg11_bn	VGG	0.5606506582738743	0.1036745545234888	59.75	4	0	feature_map_000	0.4813149397791304	4	0	1.0	True
69	fastvit_t8	FastViT	0.4766141356070668	0.10224461121470202	67.75	4	1	feature_map_001	0.42347681590274827	4	0	1.0	True
70	siglip2_large	SigLIP2	0.39548966951090253	0.17421623779791848	64.25	4	1	pooler_output	0.3432647158934898	4	0	1.0	True
71	siglip2_so400m	SigLIP2	0.31048945165991493	0.18436807416053583	66.75	4	1	pooler_output	0.31048945165991493	4	0	1.0	True
72	siglip2_base	SigLIP2	0.3008099615866385	0.21743298379467463	71.0	4	1	pooler_output	0.22712627667243557	4	0	1.0	True
73	siglip2_base_naflex	SigLIP2	0.2944286140575924	0.1600241118757472	69.5	4	1	pooler_output	0.2944286140575924	4	0	1.0	True
74	dinov3_vit7b16	DINOv3	0.828860164134725	0.07284349677987613	23.0	3	0	block_000	0.6603734948075507	3	0	0.75	False
75	siglip2_so400m_naflex	SigLIP2	0.2098312541102875	0.13051699750771875	73.0	3	1	pooler_output	0.18711011514960074	3	0	0.75	False
