joint_rank	quality_rank	model_key	family	global_quality_score	quality_score_std	mean_dataset_rank	dataset_count	global_best_layer_index	global_best_layer	global_layer_quality	layer_dataset_count	dataset_wins	coverage_frac	headline_eligible	global_alignment_score	global_best_layer_alignment	joint_score
24	16	dinov3_vith16plus	DINOv3	0.8514422600722272	0.1135496780691137	18.0	4	22	block_022	0.6035377839148883	4	0	1.0	True	0.7281088536980223	block_010	0.7897755568851248
25	22	ijepa_vith14	I-JEPA	0.7808877701082342	0.10619483997795612	26.5	4	22	hidden_state_022	0.5229775127369153	4	0	1.0	True	0.79436146769442	hidden_state_021	0.7876246189013271
26	35	vgg19_bn	VGG	0.709464279138633	0.046534616657482444	40.25	4	1	feature_map_001	0.5433831179109258	4	0	1.0	True	0.8204029960348967	feature_map_002	0.7649336375867648
27	27	dino_vits8	DINO	0.7575899280694539	0.11575996271401409	31.0	4	5	hidden_state_005	0.7191504815319398	4	0	1.0	True	0.7599262569957455	hidden_state_005	0.7587580925325996
28	31	dino_vits16	DINO	0.7413100260235013	0.14019605584008102	31.25	4	6	hidden_state_006	0.660912843615391	4	0	1.0	True	0.7676991635166854	hidden_state_005	0.7545045947700934
29	39	vit_base	ViT	0.6807466386396445	0.11526586146292842	42.75	4	3	hidden_state_003	0.5806454769856922	4	0	1.0	True	0.8201746308848337	hidden_state_003	0.7504606347622391
30	40	vit_large	ViT	0.6789254440991954	0.1338431883842047	41.75	4	3	hidden_state_003	0.5164897052039435	4	0	1.0	True	0.8215985005250801	hidden_state_006	0.7502619723121378
31	24	dinov3_vitl16	DINOv3	0.7795761087478085	0.08226818337706172	28.5	4	2	block_002	0.6018514915161943	4	0	1.0	True	0.6919442846233319	block_009	0.7357601966855702
32	41	resnext101_32x8d	ResNeXt	0.6784075239442282	0.10182483804054387	44.0	4	2	feature_map_002	0.5047493692421117	4	0	1.0	True	0.7912454634107399	feature_map_002	0.734826493677484
33	74	dinov3_vit7b16	DINOv3	0.828860164134725	0.07284349677987613	23.0	3	0	block_000	0.6603734948075507	3	0	0.75	False	0.6229096304121825	block_009	0.7258848972734537
34	26	fastvithd_15b	FastViTHD	0.7603317737644121	0.19354142746422204	30.25	4	34	block_034	0.6240821584275142	4	0	1.0	True	0.6903874167289203	block_005	0.7253595952466663
35	29	fastvithd_05b	FastViTHD	0.7514475110441183	0.1982661837822432	32.0	4	34	block_034	0.6152808358407418	4	0	1.0	True	0.6882955300124706	block_008	0.7198715205282944
36	38	dino_vitb16	DINO	0.6861801227876322	0.15920357735351176	38.25	4	5	hidden_state_005	0.587807766509292	4	0	1.0	True	0.7421806970217997	hidden_state_005	0.714180409904716
37	30	dinov3_vitb16	DINOv3	0.7425796543320278	0.040417122397732146	35.0	4	0	block_000	0.6550292187642388	4	0	1.0	True	0.684541834485451	block_003	0.7135607444087394
38	42	vgg16_bn	VGG	0.6749627009262278	0.048301445929840064	44.25	4	1	feature_map_001	0.5217637989889437	4	0	1.0	True	0.7490841339398362	feature_map_001	0.712023417433032
39	45	resnet18	ResNet	0.6674871779019955	0.07469489218124446	44.25	4	0	hidden_state_000	0.5481126241751583	4	0	1.0	True	0.7542916764153076	hidden_state_001	0.7108894271586516
40	28	swinv2_large	SwinV2	0.752240863298883	0.13648053349963288	33.0	4	3	hidden_state_003	0.5292546977981699	4	0	1.0	True	0.6536752368474545	hidden_state_003	0.7029580500731687
41	33	fastvithd_7b	FastViTHD	0.7253048261285657	0.18901161892423002	36.75	4	34	block_034	0.6163218662882589	4	0	1.0	True	0.6659027497618109	block_018	0.6956037879451883
42	34	dinov3_vits16plus	DINOv3	0.7145862707916522	0.08471431640270394	38.0	4	0	block_000	0.6059814903026393	4	0	1.0	True	0.6666440108568741	block_000	0.6906151408242631
43	46	resnet34	ResNet	0.6573220664871517	0.07596174730844513	46.75	4	0	hidden_state_000	0.535262365654922	4	0	1.0	True	0.7120034801123841	hidden_state_001	0.6846627732997679
44	32	swin_base	Swin	0.7411362012111269	0.1290718494255538	34.25	4	3	hidden_state_003	0.5367366929204674	4	0	1.0	True	0.6233588471430368	hidden_state_003	0.6822475241770818
45	37	dinov3_vits16	DINOv3	0.6979413100435847	0.057636370296958776	41.5	4	0	block_000	0.642096953007941	4	0	1.0	True	0.630360517119235	block_002	0.6641509135814099
46	52	resnet152	ResNet	0.6175821734031925	0.05838776835303087	52.75	4	2	hidden_state_002	0.42839334390145817	4	0	1.0	True	0.698124696554588	hidden_state_002	0.6578534349788903
