family	model_key	corr_metric	global_metric_score	metric_score_std	mean_dataset_rank	dataset_count	global_best_layer_index	global_best_layer	global_best_layer_score	family_rank
SigLIP	siglip_base	pcc	0.879598784422494	0.08011989495686753	19.5	8	6	hidden_state_006	0.7216323043532578	3
SigLIP2	siglip2_base_naflex	pcc	0.604283079346365	0.30921006763808506	47.75	8	1	pooler_output	0.5893819759470921	1
SigLIP2	siglip2_base	pcc	0.5823826610425149	0.31907910435164344	51.375	8	1	pooler_output	0.5348084092138139	2
SigLIP2	siglip2_large	pcc	0.5802951932144469	0.22947761271114664	55.5	8	1	pooler_output	0.5519143381100453	3
SigLIP2	siglip2_so400m	pcc	0.47639120182374456	0.2227382092237842	63.6875	8	1	pooler_output	0.4728189434594323	4
Swin	swin_tiny	pcc	0.6793473508343875	0.12073640495074149	51.625	8	3	hidden_state_003	0.5993909126049126	1
Swin	swin_base	pcc	0.6440001398546191	0.15135865290887238	51.875	8	3	hidden_state_003	0.4901440236852241	2
Swin	swin_small	pcc	0.6252479975712002	0.09487252296970261	56.625	8	3	hidden_state_003	0.5167370613018869	3
Swin	swin_large	pcc	0.6156304960456955	0.11560763025374182	56.5	8	3	hidden_state_003	0.5007872608695076	4
SwinV2	swinv2_tiny	pcc	0.6260338161526489	0.13728285728226594	55.75	8	3	hidden_state_003	0.4884350161663707	1
SwinV2	swinv2_large	pcc	0.6234811199016037	0.17275836714155274	52.4375	8	3	hidden_state_003	0.49938799782903387	2
SwinV2	swinv2_small	pcc	0.5866681775106193	0.1518102335335004	59.25	8	3	hidden_state_003	0.45202082242791164	3
SwinV2	swinv2_base	pcc	0.5320386100470017	0.16206091325352903	63.125	8	2	hidden_state_002	0.3827825764490173	4
VGG	vgg19_bn	pcc	0.8197286299340871	0.11685160039263984	28.0625	8	5	feature_map_005	0.5768739333219207	1
VGG	vgg16_bn	pcc	0.7890907214691931	0.1238307709834367	34.3125	8	5	feature_map_005	0.5746277268791755	2
VGG	vgg16	pcc	0.7857170906354045	0.16293535382666194	31.25	8	4	feature_map_004	0.5910545816179605	3
VGG	vgg19	pcc	0.7842275101446297	0.17745882926862175	30.75	8	4	feature_map_004	0.6076771926595236	4
VGG	vgg11	pcc	0.7576377667446892	0.17867711520372073	37.0625	8	5	feature_map_005	0.6158268869424228	5
VGG	vgg13_bn	pcc	0.7511042500798328	0.1801811436534468	38.5	8	5	feature_map_005	0.5733722908552931	6
VGG	vgg13	pcc	0.7506304269493325	0.16828501529744472	36.875	8	5	feature_map_005	0.5818381470169325	7
VGG	vgg11_bn	pcc	0.7328667253256699	0.1968989505038203	40.625	8	5	feature_map_005	0.5933783445182081	8
ViT	vit_tiny	pcc	0.9085335816814957	0.050928995292854946	17.0	8	4	block_004	0.6594942506547865	1
ViT	vit_small	pcc	0.8652799659534416	0.0516547852617047	27.375	8	3	block_003	0.6681318908852534	2
ViT	vit_huge	pcc	0.7777902617952653	0.1249943567399078	36.0625	8	19	hidden_state_019	0.6365223423957387	3
ViT	vit_base	pcc	0.7176994352543004	0.09901832362731856	45.5	8	10	hidden_state_010	0.5576939542311632	4
ViT	vit_large	pcc	0.7134481486720372	0.1255555050942363	46.125	8	20	hidden_state_020	0.5784642297981684	5
CLIP	clip_vit_l14	scc	0.9200799606431392	0.08379499340871185	19.875	8	20	hidden_state_020	0.8084742280990801	1
CLIP	clip_vit_l14_336	scc	0.9164684493220597	0.14466227572579604	16.5	8	20	hidden_state_020	0.8210549071548775	2
CLIP	clip_vit_b16	scc	0.8944677756643766	0.07838131644028218	22.3125	8	10	hidden_state_010	0.6408997807536538	3
CLIP	clip_vit_b32	scc	0.8674513936983917	0.1082204955192654	27.25	8	10	hidden_state_010	0.6763333492821879	4
ConvNeXt	convnext_tiny	scc	0.6422145158147095	0.14513064811548398	53.375	8	2	hidden_state_002	0.5197711901450356	1
ConvNeXt	convnext_small	scc	0.5734683036676756	0.12051432703412482	59.0	8	2	hidden_state_002	0.4483335474213398	2
ConvNeXt	convnext_base	scc	0.5653147491349265	0.13467050138188197	58.4375	8	2	hidden_state_002	0.41636403657609244	3
ConvNeXt	convnext_large	scc	0.5468656556606633	0.10722034878523139	62.0	8	2	hidden_state_002	0.45556113931018777	4
