alignment_rank	model_key	family	global_alignment_score	alignment_score_std	mean_dataset_rank	dataset_count	global_best_layer_index	global_best_layer	global_best_alignment	layer_dataset_count	coverage_frac	headline_eligible	matched_layer_index	matched_layer_name	selected_flops	profile_input_height	profile_input_width	profile_layer_index	profile_layer_name	flops_join_mode	full_flops	profiled_layer_count	selected_to_full_ratio	flops_saved_ratio	selected_flops_g	full_flops_g	layer_name_match
37	vgg13	VGG	0.7303306043163357	0.048260059063249976	33.125	8	2	feature_map_002	0.6769384049644682	8	1.0	True	2.0	feature_map_002	14970912768.0	224.0	224.0	2.0	feature_map_002	index	22369665024.0	6.0	0.6692506459948321	0.3307493540051679	14.970912768	22.369665024	True
38	dinov3_vith16plus	DINOv3	0.7301673450646244	0.05830673143817248	36.625	8	9	block_009	0.6819519271499535	8	1.0	True								missing							False
39	vgg16_bn	VGG	0.7274986190145277	0.06789791254438655	37.125	8	2	feature_map_002	0.673446454837335	8	1.0	True	2.0	feature_map_002	18670288896.0	224.0	224.0	2.0	feature_map_002	index	30693261312.0	6.0	0.608286252354049	0.391713747645951	18.670288896	30.693261312	True
40	dinov3_vitb16	DINOv3	0.72089158019192	0.0572415912047638	36.625	8	3	block_003	0.7204235149499087	8	1.0	True	3.0	block_003	15917690880.0	256.0	256.0	3.0	block_003	index	47149092864.0	13.0	0.3376033326009909	0.6623966673990092	15.91769088	47.149092864	True
41	vgg16	VGG	0.7190297713729528	0.05049716753887801	35.75	8	2	feature_map_002	0.6471768009923345	8	1.0	True	2.0	feature_map_002	18670288896.0	224.0	224.0	2.0	feature_map_002	index	30693261312.0	6.0	0.608286252354049	0.391713747645951	18.670288896	30.693261312	True
42	dino_vits8	DINO	0.7152423261434737	0.09012543375167821	42.625	8	5	hidden_state_005	0.707950167824481	8	1.0	True	5.0	hidden_state_005	18738568704.0	224.0	224.0	5.0	hidden_state_005	index	44810717184.0	14.0	0.4181715866554072	0.5818284133445928	18.738568704	44.810717184	True
43	ijepa_vith14	I-JEPA	0.7044530386799237	0.116148574635608	42.625	8	21	hidden_state_021	0.6616356569233409	8	1.0	True	21.0	hidden_state_021	218824704000.0	224.0	224.0	21.0	hidden_state_021	index	333245317120.0	34.0	0.6566474988790384	0.3433525011209616	218.824704	333.24531712	True
44	vgg13_bn	VGG	0.7039708439519203	0.05507789194542019	40.5	8	2	feature_map_002	0.6258748691081243	8	1.0	True	2.0	feature_map_002	14970912768.0	224.0	224.0	2.0	feature_map_002	index	22369665024.0	6.0	0.6692506459948321	0.3307493540051679	14.970912768	22.369665024	True
45	vit_base	ViT	0.7020734523693065	0.15571289999418048	44.5	8	3	hidden_state_003	0.6644012560267876	8	1.0	True	3.0	hidden_state_003	8954938368.0	224.0	224.0	3.0	hidden_state_003	index	35126120448.0	14.0	0.2549367323743227	0.7450632676256773	8.954938368	35.126120448	True
46	dinov3_vitl16	DINOv3	0.7007680685818023	0.08429415719945964	41.375	8	7	block_007	0.6606971890166441	8	1.0	True	7.0	block_007	55181082624.0	256.0	256.0	7.0	block_007	index	82570297344.0	12.0	0.6682921631504789	0.3317078368495211	55.181082624	82.570297344	True
