dataset	family	model_key	corr_metric	layer_index	layer_name	metric_score	raw_value_mean	family_rank
SPAQ	ViT	vit_huge	scc	8	hidden_state_008	0.6027131782945736	0.23270446599630853	3
SPAQ	ViT	vit_base	scc	3	hidden_state_003	0.5	0.20333591341403623	4
SPAQ	ViT	vit_large	scc	11	hidden_state_011	0.4316860465116279	0.18742623216787552	5
TID2013	CLIP	clip_vit_b32	pcc	12	hidden_state_012	0.8975371747211895	0.5991833746297481	1
TID2013	CLIP	clip_vit_b16	pcc	12	hidden_state_012	0.8963754646840149	0.5985395462717265	2
TID2013	CLIP	clip_vit_l14_336	pcc	21	hidden_state_021	0.8696561338289963	0.5926860519508366	3
TID2013	CLIP	clip_vit_l14	pcc	21	hidden_state_021	0.8580390334572491	0.5901876412189054	4
TID2013	ConvNeXt	convnext_tiny	pcc	5	canonical_embedding	0.6698420074349443	0.5434490949356214	1
TID2013	ConvNeXt	convnext_base	pcc	4	hidden_state_004	0.6215148698884758	0.5283415172140493	2
TID2013	ConvNeXt	convnext_small	pcc	4	hidden_state_004	0.6187267657992565	0.5276770878716912	3
TID2013	ConvNeXt	convnext_large	pcc	4	hidden_state_004	0.5771375464684014	0.5137790824744458	4
TID2013	DINO	dino_vits8	pcc	12	hidden_state_012	0.9184479553903346	0.6057401361742771	1
TID2013	DINO	dino_vits16	pcc	12	hidden_state_012	0.9138011152416357	0.6047118354791859	2
TID2013	DINO	dino_vitb16	pcc	12	hidden_state_012	0.9035780669144982	0.6024590694098495	3
TID2013	DINO	dino_vitb8	pcc	12	hidden_state_012	0.8199349442379182	0.5834119113876823	4
TID2013	DINOv2	dinov2_small	pcc	12	hidden_state_012	0.9307620817843866	0.6098334842072067	1
TID2013	DINOv2	dinov2_base	pcc	12	hidden_state_012	0.8996282527881041	0.6025118999914991	2
TID2013	DINOv2	dinov2_giant	pcc	34	hidden_state_034	0.8984665427509294	0.6026335453671552	3
TID2013	DINOv2	dinov2_large	pcc	23	hidden_state_023	0.8580390334572491	0.5939998875629989	4
TID2013	DINOv3	dinov3_vits16plus	pcc	9	block_009	0.9883828996282528	0.6368735014497267	1
TID2013	DINOv3	dinov3_vitl16	pcc	16	block_016	0.9851301115241635	0.6338288119672895	2
TID2013	DINOv3	dinov3_vits16	pcc	10	block_010	0.9848977695167286	0.6335953636318701	3
TID2013	DINOv3	dinov3_vit7b16	pcc	21	block_021	0.9804832713754646	0.636660890745433	4
TID2013	DINOv3	dinov3_vitb16	pcc	9	block_009	0.9660780669144982	0.6256085798700082	5
TID2013	DINOv3	dinov3_vith16plus	pcc	18	block_018	0.9414498141263941	0.61711955405949	6
TID2013	FastViT	fastvit_ma36	pcc	2	feature_map_002	0.7897304832713754	0.5778557212449108	1
TID2013	FastViT	fastvit_t8	pcc	3	feature_map_003	0.7569702602230484	0.5709025878429963	2
TID2013	FastViT	fastvit_s12	pcc	3	feature_map_003	0.7163104089219331	0.5593740079479943	3
TID2013	FastViT	fastvit_t12	pcc	3	feature_map_003	0.7051579925650557	0.5556618957243022	4
TID2013	FastViT	fastvit_sa36	pcc	3	feature_map_003	0.6981877323420075	0.5531714633665964	5
TID2013	FastViT	fastvit_sa12	pcc	3	feature_map_003	0.6914498141263941	0.5502036697852782	6
TID2013	FastViT	fastvit_sa24	pcc	3	feature_map_003	0.6747211895910781	0.5452364189444895	7
TID2013	FastViTHD	fastvithd_05b	pcc	44	image_embeddings	0.9886152416356877	0.6409629083931623	1
TID2013	FastViTHD	fastvithd_15b	pcc	43	block_043	0.9881505576208178	0.6389974393478461	2
TID2013	FastViTHD	fastvithd_7b	pcc	45	canonical_embedding	0.9370353159851301	0.6105452573592179	3
TID2013	I-JEPA	ijepa_vith14	pcc	29	hidden_state_029	0.6480018587360595	0.5355556923929911	1
TID2013	InternViT	internvit_6b_v25	pcc	45	hidden_state_045	0.5769052044609666	0.5137540762574417	1
