model_key	family	global_triplet_score_fr	triplet_rank_fr	global_triplet_score_nr	triplet_rank_nr	delta_global_triplet_score	delta_triplet_rank	abs_score_delta
siglip_base	SigLIP	0.9421148587055607	11	0.8265987658649464	21	0.11551609284061426	10	0.11551609284061426
fastvit_sa36	FastViT	0.6304124886052871	64	0.5184119297990462	65	0.11200055880624094	1	0.11200055880624094
vit_tiny	ViT	0.9480401093892434	8	0.8369929515098157	17	0.11104715787942776	9	0.11104715787942776
dino_vits16	DINO	0.8140382862351868	43	0.706361387917146	34	0.10767689831804084	-9	0.10767689831804084
dinov3_vitb16	DINOv3	0.8862807657247037	30	0.7839950923740046	27	0.10228567335069916	-3	0.10228567335069916
dino_vitb16	DINO	0.7713081130355515	52	0.6691898434909678	40	0.1021182695445837	-12	0.1021182695445837
clip_vit_b16	CLIP	0.9608021877848678	6	0.8600366751764503	14	0.10076551260841748	8	0.10076551260841748
swin_base	Swin	0.526207839562443	71	0.6262438957668371	48	-0.10003605620439415	-23	0.10003605620439415
vit_large	ViT	0.7534184138559709	57	0.6556587031366734	43	0.09775971071929745	-14	0.09775971071929745
swinv2_small	SwinV2	0.5301959890610757	70	0.6272047092086594	47	-0.09700872014758377	-23	0.09700872014758377
clip_vit_b32	CLIP	0.927073837739289	15	0.8312283954945761	18	0.09584544224471292	3	0.09584544224471292
convnext_base	ConvNeXt	0.6216955332725616	66	0.5300957848435819	64	0.09159974842897967	-2	0.09159974842897967
swin_large	Swin	0.5080332725615314	73	0.5903188441930466	55	-0.08228557163151518	-18	0.08228557163151518
convnext_small	ConvNeXt	0.6423199635369189	63	0.5601822634639407	59	0.08213770007297816	-4	0.08213770007297816
clip_vit_l14	CLIP	0.8895852324521422	27	0.9691533327966023	2	-0.07956810034446016	-25	0.07956810034446016
dinov2_small	DINOv2	0.8642889699179581	37	0.9272010949312681	9	-0.06291212501331	-28	0.06291212501331
clip_vit_l14_336	CLIP	0.9096399270738378	19	0.9683036529739659	3	-0.05866372590012814	-16	0.05866372590012814
dinov3_vitl16	DINOv3	0.8849134001823153	31	0.8273120986961765	19	0.057601301486138845	-12	0.057601301486138845
dinov2_giant	DINOv2	0.8729489516864175	34	0.9295736407936347	8	-0.056624689107217185	-26	0.056624689107217185
vit_mae_large	MAE	0.7724475843208751	51	0.8271141791348415	20	-0.05466659481396641	-31	0.05466659481396641
dinov3_vith16plus	DINOv3	0.8268003646308113	41	0.8800249276928098	11	-0.05322456306199852	-30	0.05322456306199852
swinv2_base	SwinV2	0.5111668185961713	72	0.5565327089939669	60	-0.045365890397795594	-12	0.045365890397795594
dinov3_vit7b16	DINOv3	0.8961941659070192	25	0.8561227590398056	74	0.040071406867213555	49	0.040071406867213555
swin_small	Swin	0.5738947128532361	68	0.6132545723855356	52	-0.03935985953229948	-16	0.03935985953229948
dinov2_base	DINOv2	0.9070191431175935	22	0.9447870433133271	5	-0.03776790019573362	-17	0.03776790019573362
swinv2_tiny	SwinV2	0.5978805834092982	67	0.5629204573294516	58	0.034960126079846554	-9	0.034960126079846554
vit_huge	ViT	0.7645852324521422	55	0.7330473076446945	30	0.03153792480744766	-25	0.03153792480744766
siglip_large	SigLIP	0.8942570647219691	26	0.8676632333195688	12	0.026593831402400236	-14	0.026593831402400236
vit_small	ViT	0.863947128532361	38	0.8408551423592445	16	0.023091986173116474	-22	0.023091986173116474
dino_vitb8	DINO	0.7665223336371924	54	0.7489488296233966	28	0.01757350401379576	-26	0.01757350401379576
ijepa_vith14	I-JEPA	0.8035551504102096	45	0.8152702786932504	22	-0.011715128283040777	-23	0.011715128283040777
vit_mae_huge	MAE	0.7958067456700091	46	0.7853650550019435	26	0.01044169066806555	-20	0.01044169066806555
siglip_so400m	SigLIP	0.930549225159526	14	0.9375569735642661	7	-0.007007748404740166	-7	0.007007748404740166
fastvit_ma36	FastViT	0.7911349134001823	48	0.7891714085120345	25	0.0019635048881477823	-23	0.0019635048881477823
