model_key	family	layer_index	layer_name	mean_alignment	min_alignment	max_alignment	dataset_count
ijepa_vith14	I-JEPA	7	hidden_state_007	0.5175266548234888	0.297320322180917	0.6664343246592318	8
ijepa_vith14	I-JEPA	8	hidden_state_008	0.5191988362698108	0.2894206939281289	0.6812267657992566	8
ijepa_vith14	I-JEPA	9	hidden_state_009	0.5223034470778548	0.29879182156133827	0.6562887236679059	8
ijepa_vith14	I-JEPA	10	hidden_state_010	0.5607812411729031	0.42719950433705084	0.6836947828385286	8
ijepa_vith14	I-JEPA	11	hidden_state_011	0.6142460404269243	0.5157992565055762	0.7447356550085185	8
ijepa_vith14	I-JEPA	12	hidden_state_012	0.6285532066111629	0.5355483271375464	0.7616735947348969	8
ijepa_vith14	I-JEPA	13	hidden_state_013	0.629012815007505	0.5257899628252788	0.76492137700934	8
ijepa_vith14	I-JEPA	14	hidden_state_014	0.6393275467105566	0.5199039653035936	0.784345640809125	8
ijepa_vith14	I-JEPA	15	hidden_state_015	0.6338983126334063	0.48435563816604704	0.7936293094472305	8
ijepa_vith14	I-JEPA	16	hidden_state_016	0.659025670450873	0.5	0.8267337190396588	8
ijepa_vith14	I-JEPA	17	hidden_state_017	0.6473116762593869	0.4837360594795539	0.8474675793867372	8
ijepa_vith14	I-JEPA	18	hidden_state_018	0.6481191763131933	0.4631350681536555	0.8594659094419672	8
ijepa_vith14	I-JEPA	19	hidden_state_019	0.6551343595058338	0.4400557620817844	0.8828264716281017	8
ijepa_vith14	I-JEPA	20	hidden_state_020	0.6603247535190703	0.43385997521685254	0.8937240197441363	8
ijepa_vith14	I-JEPA	21	hidden_state_021	0.6616356569233409	0.4378097893432466	0.883666378330879	8
ijepa_vith14	I-JEPA	22	hidden_state_022	0.6494375536877439	0.42309479553903345	0.8473786186427393	8
ijepa_vith14	I-JEPA	23	hidden_state_023	0.6309733798671974	0.43657063197026025	0.8137265712870189	8
ijepa_vith14	I-JEPA	24	hidden_state_024	0.6002352696811954	0.4321561338289963	0.7662279700588458	8
ijepa_vith14	I-JEPA	25	hidden_state_025	0.564299743512861	0.38731412639405205	0.7292512965743212	8
ijepa_vith14	I-JEPA	26	hidden_state_026	0.5347105073230467	0.3852230483271375	0.6618649318463444	8
ijepa_vith14	I-JEPA	27	hidden_state_027	0.5068027386076722	0.3818928128872367	0.663723667905824	8
ijepa_vith14	I-JEPA	28	hidden_state_028	0.4543419591214639	0.3383793503422465	0.6578376703841388	8
ijepa_vith14	I-JEPA	29	hidden_state_029	0.4015870638263	0.28350872373348884	0.6563661710037175	8
ijepa_vith14	I-JEPA	30	hidden_state_030	0.34117311374636006	0.1861240683845021	0.668138166047088	8
ijepa_vith14	I-JEPA	31	hidden_state_031	0.27974382267608555	0.0772757301548145	0.6689900867410161	8
ijepa_vith14	I-JEPA	32	hidden_state_032	0.27913800347203743	0.06286052990264603	0.6408767038413878	8
ijepa_vith14	I-JEPA	33	canonical_embedding	0.325006878458298	0.18123534519920562	0.6261617100371747	8
internvit_300m	InternViT	0	hidden_state_000	0.047108845271141175	0.035679845708775304	0.06425915322561376	4
internvit_300m	InternViT	1	hidden_state_001	0.21999066016926072	0.05359355638166047	0.4288035151793918	8
internvit_300m	InternViT	2	hidden_state_002	0.34285951644438334	0.12685873605947953	0.5792074570270979	8
