triplet_rank	model_key	family	global_triplet_score	triplet_score_std	mean_dataset_rank	dataset_count	global_best_layer_index	global_best_layer	global_layer_triplet	layer_dataset_count	max_layer_index	dataset_wins	coverage_frac	headline_eligible	global_best_layer_fraction
55	swin_large	Swin	0.5903188441930466	0.09202085880765287	53.0	4	1	hidden_state_001	0.38111191620763174	4	5	0	1.0	True	0.2
56	resnet101	ResNet	0.5696380355298618	0.11852300284637617	53.0	4	2	hidden_state_002	0.49824999718649066	4	5	0	1.0	True	0.4
57	swin_tiny	Swin	0.5684184874400614	0.12068394733054844	53.25	4	3	hidden_state_003	0.4902045507864408	4	5	0	1.0	True	0.6
58	swinv2_tiny	SwinV2	0.5629204573294516	0.1207218279613485	56.25	4	1	hidden_state_001	0.43427663809006867	4	5	0	1.0	True	0.2
59	convnext_small	ConvNeXt	0.5601822634639407	0.049683343586565995	56.5	4	1	hidden_state_001	0.480393519059578	4	5	0	1.0	True	0.2
60	swinv2_base	SwinV2	0.5565327089939669	0.11258239324528149	57.0	4	2	hidden_state_002	0.4178590535700837	4	5	0	1.0	True	0.4
61	resnet152	ResNet	0.541728888507983	0.09724277254319943	57.25	4	2	hidden_state_002	0.4938710945243914	4	5	0	1.0	True	0.4
62	convnext_tiny	ConvNeXt	0.5381341974702656	0.1686371575940211	55.0	4	2	hidden_state_002	0.384390953139054	4	5	0	1.0	True	0.4
63	fastvit_t12	FastViT	0.5322166298313367	0.06284768894239275	58.75	4	0	feature_map_000	0.41975081396989633	4	3	0	1.0	True	0.0
64	convnext_base	ConvNeXt	0.5300957848435819	0.12647884239102947	57.75	4	1	hidden_state_001	0.3790018924096712	4	5	0	1.0	True	0.2
65	fastvit_sa36	FastViT	0.5184119297990462	0.14369259592714034	56.75	4	0	feature_map_000	0.4835441084681437	4	3	0	1.0	True	0.0
66	vgg11_bn	VGG	0.515287960517374	0.1572079205048249	58.75	4	0	feature_map_000	0.45782170747986606	4	5	0	1.0	True	0.0
67	fastvit_s12	FastViT	0.5029592707730052	0.12604788577294398	59.5	4	1	feature_map_001	0.4573374592365781	4	3	0	1.0	True	0.3333333333333333
68	convnext_large	ConvNeXt	0.4744609099668352	0.11927499193213471	62.75	4	2	hidden_state_002	0.4196285345252225	4	5	0	1.0	True	0.4
69	siglip2_large	SigLIP2	0.44180980936526365	0.2527257831085886	57.5	4	1	pooler_output	0.43975876105168116	4	2	0	1.0	True	0.5
70	siglip2_so400m	SigLIP2	0.41710990260063485	0.2517902701411611	58.5	4	1	pooler_output	0.41710990260063485	4	2	0	1.0	True	0.5
71	fastvit_t8	FastViT	0.4118325165499277	0.16925891393680315	66.75	4	1	feature_map_001	0.374685752648378	4	3	0	1.0	True	0.3333333333333333
72	siglip2_base_naflex	SigLIP2	0.3876651205350689	0.23496057718013888	60.5	4	1	pooler_output	0.3876651205350689	4	2	0	1.0	True	0.5
73	siglip2_base	SigLIP2	0.37962346155144694	0.15887065319554505	66.75	4	1	pooler_output	0.3423627505213649	4	2	0	1.0	True	0.5
74	dinov3_vit7b16	DINOv3	0.8561227590398056	0.03896806692111503	19.666666666666668	3	40	canonical_embedding	0.6391674263141902	3	40	0	0.75	False	1.0
75	siglip2_so400m_naflex	SigLIP2	0.31358249772105745	0.22993525432172818	65.0	3	1	pooler_output	0.31358249772105745	3	2	0	0.75	False	0.5
